method,scale,n_iterations,total_n_sim,time_final,final_epsilon
permABC-SMC,national,79,6056,0.5908753871917725,0.19142857193946838
ABC-SMC,national,121,8257,0.4050445556640625,0.16634918749332428
ABC-SMC (Gibbs 3b),national,60,4593,0.655256986618042,0.19199998676776886
permABC-SMC (Gibbs 3b),national,73,5561,0.6935608386993408,0.17804759740829468
