K,K_outliers,epsilon,include_osum,kl_joint,kl_sigma2,method,n_sim,seed,time
5,0,32.932330103685636,False,22.43617901439277,23.750733469554703,ABC-Vanilla,1000.0,0,27.534000078837074
5,0,18.660078118288496,False,22.987797000794508,23.74449100051634,ABC-Vanilla,2154.4346900318833,0,59.320204925187205
5,0,14.976955617416156,False,22.873067020208715,23.66346403560962,ABC-Vanilla,4641.588833612778,0,127.80150731062352
5,0,12.054257770650167,False,22.232333128739825,23.047246629223924,ABC-Vanilla,10000.0,0,275.34000078837073
5,0,9.042007975734439,False,21.737822236026304,26.021583203453304,ABC-Vanilla,21544.346900318837,0,593.2020492518722
5,0,8.469848050671402,False,nan,nan,ABC-Vanilla,46415.88833612777,0,1278.015073106235
5,0,7.812974354595021,False,nan,nan,ABC-Vanilla,100000.0,0,2753.4000078837075
5,0,7.012434272256795,False,nan,nan,ABC-Vanilla,215443.4690031882,0,5932.020492518716
5,0,6.615321273097552,False,nan,nan,ABC-Vanilla,464158.8833612778,0,12780.150731062353
5,0,6.430997746839551,False,nan,nan,ABC-Vanilla,1000000.0,0,27534.000078837074
5,0,19.29521934502748,False,22.43617901439277,23.750733469554703,permABC-Vanilla,1000.0,0,1.4297993977864583
5,0,7.495223870067895,False,22.987797000794515,24.14287140970717,permABC-Vanilla,2154.4346900318833,0,3.0804094223778415
5,0,5.4659152114871175,False,23.29720988428243,24.526947094356803,permABC-Vanilla,4641.588833612778,0,6.6365409190719
5,0,4.630839454362405,False,23.080902840431136,25.279347813982362,permABC-Vanilla,10000.0,0,14.297993977864584
5,0,3.674371390901389,False,21.737822236026304,26.021583203456082,permABC-Vanilla,21544.346900318837,0,30.804094223778424
5,0,3.0689110074910233,False,nan,nan,permABC-Vanilla,46415.88833612777,0,66.36540919071898
5,0,2.752091436958913,False,nan,nan,permABC-Vanilla,100000.0,0,142.97993977864584
5,0,2.487002600262461,False,nan,nan,permABC-Vanilla,215443.4690031882,0,308.04094223778395
5,0,2.286546613829508,False,nan,nan,permABC-Vanilla,464158.8833612778,0,663.6540919071899
5,0,2.193503187003705,False,nan,nan,permABC-Vanilla,1000000.0,0,1429.7993977864583
5,0,26.04947826327992,False,23.018319420889824,25.26163899619257,ABC-SMC,933.3333333333334,0,122.81369527180989
5,0,24.655964172286495,False,22.94060859570328,25.359152603190683,ABC-SMC,1800.0,0,239.9858283996582
5,0,23.28712365394649,False,22.84352937314651,25.46706545900519,ABC-SMC,2600.0,0,306.1578559875488
5,0,21.313592522454343,False,22.721214832591215,25.46706545900519,ABC-SMC,3333.3333333333335,0,357.148920694987
5,0,19.51397977717576,False,22.56533391134165,25.587829245342125,ABC-SMC,4000.0,0,412.69714673360187
5,0,18.50345290943531,False,22.36368308126694,25.724866369347396,ABC-SMC,4600.0,0,469.81958707173663
5,0,17.51010092222654,False,22.097701934757644,25.883153018420487,ABC-SMC,5133.333333333334,0,527.202870051066
5,0,15.715077030862476,False,23.080902840431104,25.746149782304645,ABC-SMC,13142.857142857143,0,1235.7592037745883
5,0,14.702424291595946,False,23.080902840431104,25.746149782304645,ABC-SMC,13375.0,0,1087.4203562736511
5,0,14.702424291595946,False,23.080902840431104,25.746149782304645,ABC-SMC,13555.555555555555,0,967.6376713646782
5,0,14.702424291595946,False,23.080902840431104,25.746149782304645,ABC-SMC,13700.000000000002,0,874.7434234619142
5,0,14.702424291595946,False,23.080902840431104,25.746149782304645,ABC-SMC,15200.000000000004,0,876.1461877822877
5,0,12.953078624790383,False,23.018319420889824,22.84352939713615,permABC-SMC,933.3333333333334,0,10.699653625488281
5,0,12.196235287216039,False,22.94060859570328,22.84352939713615,permABC-SMC,1800.0,0,17.235533396402996
5,0,11.326088325096977,False,22.843529373146502,22.7212148587629,permABC-SMC,2600.0,0,27.93201446533203
5,0,10.762972115247067,False,22.721214832591215,22.565333940131744,permABC-SMC,3333.3333333333335,0,38.60204060872396
5,0,9.864850145346935,False,22.56533391134165,22.36368311325733,permABC-SMC,4000.0,0,44.82130686442058
5,0,9.127356131583879,False,22.363683081266927,22.363683113257327,permABC-SMC,4600.0,0,51.12682660420736
5,0,8.867918648966892,False,22.097701934757644,22.097701970748407,permABC-SMC,5133.333333333334,0,58.4417470296224
5,0,7.775183450190169,False,22.169251249597767,25.385985841760508,permABC-SMC,9200.000000000002,0,97.02592372894289
5,0,7.445485588550454,False,22.169251249597767,25.385985841760508,permABC-SMC,7642.857142857143,0,73.53237356458392
5,0,7.280102156654272,False,22.041549859282682,25.37716352628533,permABC-SMC,8066.666666666666,0,69.8252805074056
5,0,7.080364670251378,False,21.888702913972512,25.485179363291927,permABC-SMC,8933.333333333334,0,72.84434636433919
5,0,6.947842949468974,False,21.703964884604837,25.605694895116613,permABC-SMC,9733.333333333332,0,75.87076187133789
5,0,6.839761387024454,False,21.478053572363944,25.587829245341567,permABC-SMC,10466.666666666666,0,78.9431603749593
5,0,6.839761387024454,False,22.35227721648703,25.42542275685642,permABC-SMC,13230.769230769229,0,94.66814261216382
