method,n_sim,time,epsilon,kl_sigma2,kl_joint,K,K_outliers,include_osum,seed
ABC-SMC,5722.0,1.7225852847099303,9.981312410459193,23.61776160160749,21.04597171261148,20,0,False,43
ABC-SMC,6383.0,1.9908277273178099,9.852670946262217,23.625577578730095,21.095465428700273,20,0,False,43
ABC-SMC,7011.0,2.2513687133789064,9.735637748064935,23.62256543493421,21.144482508192947,20,0,False,43
ABC-SMC,7607.0,2.516440606117248,9.600288556771511,23.627425208132863,21.194419675178754,20,0,False,43
ABC-SMC,8173.0,2.7867411494255063,9.510186007922268,23.63143330390468,21.24360897921666,20,0,False,43
ABC-SMC,8710.0,3.072341001033783,9.389268713793758,23.6432110084004,21.29356860593378,20,0,False,43
ABC-SMC,9220.0,3.3463669419288635,9.300877424026218,23.635666709883694,21.342431917433842,20,0,False,43
ABC-SMC,21072.164948453606,7.350339766630192,9.246660979092027,23.6302651994005,20.669390089075677,20,0,False,43
ABC-SMC,22985.596707818935,7.894055441083242,9.1491579666968,23.64044413915377,20.71685537318258,20,0,False,43
ABC-SMC,24794.661190965093,8.451640116360643,9.082997831552793,23.6505563794145,20.764594689307685,20,0,False,43
ABC-SMC,26393.87755102041,8.957160905915863,9.007586577582428,23.646391522559046,20.813624769504997,20,0,False,43
ABC-SMC,27945.121951219513,9.471413614304085,8.895837791487986,23.643248259307217,20.860582560142454,20,0,False,43
ABC-SMC,29341.41414141414,9.972116754512594,8.849403775219233,23.63489343625367,20.908640992548438,20,0,False,43
ABC-SMC,30644.57831325301,10.47094840122514,8.778220435399426,23.642773853296454,20.955331801933596,20,0,False,43
ABC-SMC,32050.200803212854,11.034559964176163,8.695498528438518,23.648247753138804,21.002975426784083,20,0,False,43
ABC-SMC,33320.64128256513,11.567176272252757,8.644024677022498,23.652456107489527,21.048836929065722,20,0,False,43
ABC-SMC,34518.0,12.093618011474609,8.58275638178716,23.65741311411147,21.09688528527736,20,0,False,43
ABC-SMC,35720.0,12.62196912765503,8.495945886981781,23.666700270416698,21.1427826741209,20,0,False,43
ABC-SMC,36644.1351888668,13.103791283328775,8.454054326301305,23.657528108080975,21.187693754145368,20,0,False,43
ABC-SMC,37574.25742574257,13.608838355187142,8.3613708016779,23.66361328656987,21.23469310746656,20,0,False,43
ABC-SMC,38441.814595660755,14.125449558686928,8.326294234800134,23.66666817062982,21.28224111260319,20,0,False,43
ABC-SMC,80039.0625,27.991244476288557,8.247705106219183,23.539671914279147,20.64366861046463,20,0,False,43
ABC-SMC,82795.36679536679,28.745864855276572,8.204773778298659,23.545025609096438,20.686922196595788,20,0,False,43
ABC-SMC,85969.23076923077,29.691939032994785,8.147572281858375,23.566033486042308,20.73211459362485,20,0,False,43
ABC-SMC,88942.52873563216,30.638339053625344,8.107535063973184,23.563518411542226,20.779425675332398,20,0,False,43
ABC-SMC,90686.79245283018,31.226220355843594,8.06187184722002,23.57183477538981,20.826851656487435,20,0,False,43
ABC-SMC,92921.34831460674,32.05082992489419,8.019990889713954,23.55744142450567,20.871984532004944,20,0,False,43
ABC-SMC,94977.69516728623,32.94178606409122,7.977416996293545,23.570223529101572,20.918013822203903,20,0,False,43
ABC-SMC,96867.15867158672,33.747941145597785,7.9399004080102165,23.557681470127285,20.963701349393077,20,0,False,43
ABC-SMC,98608.05860805858,34.792823232573895,7.9070000611731475,23.561037795618283,21.006257644018888,20,0,False,43
ABC-SMC,99840.57971014491,35.514258085817524,7.868952368204554,23.58031842420803,21.05066968076173,20,0,False,43
ABC-SMC,101298.5611510791,36.38536145361207,7.842846874484136,23.781917613740653,21.09422699429146,20,0,False,43
ABC-SMC,103000.0,37.26543470095563,7.800996333207116,23.799718113827662,21.136723825924012,20,0,False,43
ABC-SMC,104960.57347670251,38.3808857651167,7.777116333428082,23.8147147797798,21.181056360157783,20,0,False,43
ABC-SMC,105687.94326241135,39.03886527879864,7.732482935450361,23.840532192151514,21.224120714965036,20,0,False,43
ABC-SMC,206738.25503355704,73.97102117538452,7.704004125407781,23.452751600758063,20.618286929927176,20,0,False,43
ABC-SMC,210304.6357615894,74.88121133766427,7.691557082715326,23.4294664810688,20.662184119982527,20,0,False,43
ABC-SMC,214914.47368421053,76.34500892538773,7.640022774120867,23.438069741953672,20.70124341403715,20,0,False,43
