method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.026337353944778444,17.773744446878226,20,2,True,0
ABC-Vanilla,2154.4346900318833,0.056742108982278744,10.685319434184217,20,2,True,0
ABC-Vanilla,4641.588833612778,0.12224716797699108,9.710576547979427,20,2,True,0
ABC-Vanilla,10000.0,0.2633735394477844,9.033245486958185,20,2,True,0
ABC-Vanilla,21544.346900318837,0.5674210898227875,8.488263489716225,20,2,True,0
ABC-Vanilla,46415.88833612777,1.2224716797699104,8.028786359755586,20,2,True,0
ABC-Vanilla,100000.0,2.6337353944778443,7.625671564935422,20,2,True,0
ABC-Vanilla,215443.4690031882,5.67421089822787,7.2544607327967245,20,2,True,0
ABC-Vanilla,464158.8833612778,12.224716797699108,6.9330607738045575,20,2,True,0
ABC-Vanilla,1000000.0,26.337353944778442,6.630490921452581,20,2,True,0
permABC-Vanilla,1000.0,0.05246673393249512,11.022477556225878,20,2,True,0
permABC-Vanilla,2154.4346900318833,0.1130361516568404,3.909460050904581,20,2,True,0
permABC-Vanilla,4641.588833612778,0.24352900635720198,3.2382017950113053,20,2,True,0
permABC-Vanilla,10000.0,0.5246673393249511,2.819483328005588,20,2,True,0
permABC-Vanilla,21544.346900318837,1.1303615165684042,2.5113311245609093,20,2,True,0
permABC-Vanilla,46415.88833612777,2.435290063572019,2.2668565391602145,20,2,True,0
permABC-Vanilla,100000.0,5.2466733932495115,2.0609394822759257,20,2,True,0
permABC-Vanilla,215443.4690031882,11.303615165684034,1.8876659497061745,20,2,True,0
permABC-Vanilla,464158.8833612778,24.352900635720196,1.7354546174611052,20,2,True,0
permABC-Vanilla,1000000.0,52.46673393249512,1.5981894158267942,20,2,True,0
ABC-SMC,950.0,0.19776949882507325,13.113144126592509,20,2,True,0
ABC-SMC,584100.0,99.24595157305399,8.001591544461315,20,2,True,0
ABC-SMC,599154.8821548822,55.90364920972574,7.903513473097914,20,2,True,0
ABC-SMC,678572.5593667546,45.29501064471645,7.903513473097914,20,2,True,0
ABC-SMC,813964.3705463182,42.18435477191082,7.903513473097914,20,2,True,0
ABC-SMC,1201151.098901099,54.950384189794356,7.623540247940191,20,2,True,0
ABC-SMC,1064521.4953271027,38.901921143041584,7.623540247940191,20,2,True,0
ABC-SMC,1190037.2881355933,37.04487016645529,7.6127598350498324,20,2,True,0
ABC-SMC,1352854.4,36.36667749404907,7.6127598350498324,20,2,True,0
ABC-SMC,1802686.4864864862,42.68294695261362,7.6127598350498324,20,2,True,0
ABC-PMC,32658.53658536585,11.429036632785952,13.078180044776884,20,2,True,0
ABC-PMC,43623.37662337662,21.118667837861295,12.560801680421031,20,2,True,0
ABC-PMC,120200.0,67.42554031312466,12.026977662379274,20,2,True,0
ABC-PMC,240942.3076923077,148.09095477446533,11.220836665142384,20,2,True,0
ABC-PMC,569307.6923076923,306.4710121183,10.000875604148533,20,2,True,0
ABC-PMC,930645.8333333334,524.4176075690323,9.385461053434312,20,2,True,0
ABC-PMC,921348.8372093023,454.9536383429239,8.046859670688244,20,2,True,0
ABC-PMC,1262951.0703363915,511.15448332707814,6.8991763101563315,20,2,True,0
ABC-PMC,3182384.6153846146,973.5458209473861,5.915181288920284,20,2,True,0
ABC-PMC,4112416.107382551,1132.5637191334026,4.817952129708626,20,2,True,0
permABC-SMC,950.0,0.2655654549598694,5.965221062407088,20,2,True,0
permABC-SMC,90661.39954853273,17.06091057904418,2.27466068785293,20,2,True,0
permABC-SMC,241113.83285302596,57.40900716451816,1.2797721743914265,20,2,True,0
permABC-SMC,526450.505050505,161.43437412050037,0.8099425391206069,20,2,True,0
permABC-SMC,1066002.9673590504,327.1440419315938,0.6290727545478552,20,2,True,0
permABC-SMC,964462.0,241.0658412218094,0.5879727578096463,20,2,True,0
permABC-SMC,1569468.5863874345,341.5642300825468,0.5504062220260869,20,2,True,0
permABC-SMC,3576722.7722772276,723.2924068328177,0.49856330142325167,20,2,True,0
permABC-SMC,2337564.0326975477,400.43719214379627,0.49856330142325167,20,2,True,0
permABC-SMC,2383323.8095238092,354.26017701625824,0.4974203687319688,20,2,True,0
permABC-SMC-OS,13791.3741223671,2.380870959703757,4.102734958471708,20,2,True,0
permABC-SMC-OS,22956.609485368313,1.7230739627187597,3.4885844180359467,20,2,True,0
permABC-SMC-OS,62474.22680412371,4.804845974617398,1.9596013245674209,20,2,True,0
permABC-SMC-OS,87836.43892339544,3.962671213762113,1.5488668673264565,20,2,True,0
permABC-SMC-OS,127741.5852334419,7.644419716701445,1.1932563550256694,20,2,True,0
permABC-SMC-OS,194450.80091533178,3.573054825413964,0.9153935322812504,20,2,True,0
permABC-SMC-OS,267284.68899521534,5.28200089075919,0.7576687438342663,20,2,True,0
permABC-SMC-OS,408805.9701492537,10.472978122198759,0.6596668896596123,20,2,True,0
permABC-SMC-UM,11320.72617246596,1.5046989322610413,0.978413740585956,20,2,True,0
permABC-SMC-UM,7915.956151035324,1.7296179203400517,1.2611481764616583,20,2,True,0
permABC-SMC-UM,41899.22480620155,14.088114287502082,1.5581138217712491,20,2,True,0
permABC-SMC-UM,30560.509554140128,5.004268846694072,1.8915879530349815,20,2,True,0
permABC-SMC-UM,16850.0,3.164776346900246,2.368452498246059,20,2,True,0
permABC-SMC-UM,7246.648793565684,1.5808730598429253,3.174060730876135,20,2,True,0
permABC-SMC-UM,2677.376171352075,0.13092575941379447,4.321408176323524,20,2,True,0
permABC-SMC-UM,2061.8556701030925,0.1289449033048964,6.044782595232377,20,2,True,0
