method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.34561901092529296,32.51905452654851,10,4,True,42
ABC-Vanilla,2154.4346900318833,0.7446135866719596,21.136002804209177,10,4,True,42
ABC-Vanilla,4641.588833612778,1.6042213417951328,19.057584255710285,10,4,True,42
ABC-Vanilla,10000.0,3.4561901092529297,17.57154079557002,10,4,True,42
ABC-Vanilla,21544.346900318837,7.446135866719598,16.459166536709176,10,4,True,42
ABC-Vanilla,46415.88833612777,16.042213417951324,15.52101360304719,10,4,True,42
ABC-Vanilla,100000.0,34.5619010925293,14.72434927900591,10,4,True,42
ABC-Vanilla,215443.4690031882,74.46135866719592,13.87227535256492,10,4,True,42
ABC-Vanilla,464158.8833612778,160.42213417951325,13.04048870712124,10,4,True,42
ABC-Vanilla,1000000.0,345.61901092529297,12.543729826160257,10,4,True,42
permABC-Vanilla,1000.0,0.028339433670043945,24.52045564729247,10,4,True,42
permABC-Vanilla,2154.4346900318833,0.06105545899460024,13.844680295918304,10,4,True,42
permABC-Vanilla,4641.588833612778,0.13153999887378598,12.040382098037965,10,4,True,42
permABC-Vanilla,10000.0,0.28339433670043945,10.732424397335993,10,4,True,42
permABC-Vanilla,21544.346900318837,0.6105545899460025,9.858632241249051,10,4,True,42
permABC-Vanilla,46415.88833612777,1.3153999887378593,8.961329523180458,10,4,True,42
permABC-Vanilla,100000.0,2.8339433670043945,8.192237338080218,10,4,True,42
permABC-Vanilla,215443.4690031882,6.1055458994600205,7.594722405928428,10,4,True,42
permABC-Vanilla,464158.8833612778,13.153999887378596,7.327868150876953,10,4,True,42
permABC-Vanilla,1000000.0,28.339433670043945,6.7416270863917855,10,4,True,42
ABC-SMC,950.0,0.38629329204559326,26.30772963764565,10,4,True,42
ABC-SMC,1852.0,0.7446460962295532,25.364361327643728,10,4,True,42
ABC-SMC,2708.0,1.0910644054412841,24.6806808090176,10,4,True,42
ABC-SMC,3521.0,1.4536171197891234,24.252591301127183,10,4,True,42
ABC-SMC,4293.0,1.7829201221466064,23.68005920046413,10,4,True,42
ABC-SMC,6820.876288659794,2.7638317076201293,23.68005920046413,10,4,True,42
ABC-PMC,8056.07476635514,4.735815859286585,26.316659711126313,10,4,True,42
ABC-PMC,13704.545454545456,11.000919251730949,25.2440727165966,10,4,True,42
ABC-PMC,25315.315315315318,25.50769936931026,24.296115018135346,10,4,True,42
ABC-PMC,32075.949367088604,41.28592265809135,23.909119204903746,10,4,True,42
permABC-SMC,950.0,0.08709549903869629,18.542809171749177,10,4,True,42
permABC-SMC,1852.0,0.16553609371185304,17.812279316942764,10,4,True,42
permABC-SMC,2708.0,0.2628865003585815,17.356116627358166,10,4,True,42
permABC-SMC,3521.0,0.3486378908157349,16.991273645561037,10,4,True,42
permABC-SMC,4293.0,0.43657388687133786,16.745177583416226,10,4,True,42
permABC-SMC,5026.0,0.9136964082717896,16.514643432126576,10,4,True,42
permABC-SMC,7375.764993880049,1.2067883805516593,16.514643432126576,10,4,True,42
permABC-SMC-OS,7537.688442211055,1.6059785871649506,14.546845096695712,10,4,True,42
permABC-SMC-OS,16528.396322778346,2.7899938657407986,12.632483250841014,10,4,True,42
permABC-SMC-OS,53056.07476635515,5.279472163904495,8.096911864061372,10,4,True,42
permABC-SMC-OS,78915.14500537058,6.907917836042787,6.833139249435298,10,4,True,42
permABC-SMC-OS,116592.81705948373,5.2744563313579444,5.603852969999921,10,4,True,42
permABC-SMC-OS,180802.55220417632,5.762000786456044,4.361424746806825,10,4,True,42
permABC-SMC-OS,247536.96682464454,6.693335901504444,3.5506500591740475,10,4,True,42
permABC-SMC-OS,313670.30303030304,7.863306421222108,3.016747768694327,10,4,True,42
permABC-SMC-UM,37141.24293785311,7.442109598278326,1.980600898615843,10,4,True,42
permABC-SMC-UM,29507.85340314136,5.1229000091552725,3.8653802653507623,10,4,True,42
permABC-SMC-UM,23246.23115577889,4.0922999981060695,6.069026539807139,10,4,True,42
permABC-SMC-UM,18642.85714285714,3.6976163484612288,8.81763463933324,10,4,True,42
permABC-SMC-UM,6645.0,1.8312864899635315,11.762471272752798,10,4,True,42
permABC-SMC-UM,2496.8789013732835,0.03652435712302371,15.089476664525753,10,4,True,42
permABC-SMC-UM,2076.843198338526,0.02660686972232871,18.570541626762903,10,4,True,42
