method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.018948956966400147,19.639434759219245,20,2,True,42
ABC-Vanilla,2154.4346900318833,0.040824290228333796,12.296174478706838,20,2,True,42
ABC-Vanilla,4641.588833612778,0.087953267063852,11.289063533368273,20,2,True,42
ABC-Vanilla,10000.0,0.1894895696640015,10.580478646829944,20,2,True,42
ABC-Vanilla,21544.346900318837,0.40824290228333804,10.01067103150723,20,2,True,42
ABC-Vanilla,46415.88833612777,0.8795326706385197,9.523403660817197,20,2,True,42
ABC-Vanilla,100000.0,1.8948956966400148,9.10182909110623,20,2,True,42
ABC-Vanilla,215443.4690031882,4.082429022833377,8.721874296249949,20,2,True,42
ABC-Vanilla,464158.8833612778,8.795326706385199,8.371168648262758,20,2,True,42
ABC-Vanilla,1000000.0,18.948956966400146,8.046810537706413,20,2,True,42
permABC-Vanilla,1000.0,0.030892767906188962,11.177890603054749,20,2,True,42
permABC-Vanilla,2154.4346900318833,0.06655645084819713,4.907853179279427,20,2,True,42
permABC-Vanilla,4641.588833612778,0.1433915265527579,4.135902430099398,20,2,True,42
permABC-Vanilla,10000.0,0.3089276790618896,3.6244473125963634,20,2,True,42
permABC-Vanilla,21544.346900318837,0.6655645084819714,3.2351025786880423,20,2,True,42
permABC-Vanilla,46415.88833612777,1.4339152655275786,2.9202990643972124,20,2,True,42
permABC-Vanilla,100000.0,3.089276790618896,2.6595567468881143,20,2,True,42
permABC-Vanilla,215443.4690031882,6.655645084819708,2.4345208152295155,20,2,True,42
permABC-Vanilla,464158.8833612778,14.33915265527579,2.2536538784098523,20,2,True,42
permABC-Vanilla,1000000.0,30.89276790618896,2.0832456312508874,20,2,True,42
ABC-SMC,950.0,0.12734218835830688,14.678172791536069,20,2,True,42
ABC-SMC,710526.3157894736,112.34427414442364,9.620557512864435,20,2,True,42
ABC-SMC,608372.0930232558,51.38265914695207,9.620557512864435,20,2,True,42
ABC-SMC,844327.868852459,50.76825481946351,9.40244518507112,20,2,True,42
ABC-SMC,805817.2588832487,32.676082516684744,9.40244518507112,20,2,True,42
ABC-SMC,891276.9857433809,27.278801938424042,9.40244518507112,20,2,True,42
ABC-SMC,1022255.8558558556,25.095106073327965,9.40244518507112,20,2,True,42
ABC-SMC,1156303.9215686275,23.678209734897987,9.40244518507112,20,2,True,42
ABC-SMC,1314214.0672782876,23.09029667384763,9.40244518507112,20,2,True,42
ABC-SMC,2262816.742081448,39.53345404491165,9.124874810322344,20,2,True,42
ABC-PMC,29940.0,7.208151936531067,14.794569651440195,20,2,True,42
ABC-PMC,97643.56435643564,36.39901475150986,13.98993778569512,20,2,True,42
ABC-PMC,201729.16666666666,93.85063176353772,12.329821004437166,20,2,True,42
ABC-PMC,253611.46496815287,132.47974898405135,11.859324408132007,20,2,True,42
ABC-PMC,450012.65822784806,233.47474683689165,10.854856295205677,20,2,True,42
ABC-PMC,617729.0640394088,293.1692903852228,9.675900690740079,20,2,True,42
ABC-PMC,1378601.1904761903,529.050728820619,8.295875354723274,20,2,True,42
ABC-PMC,1934574.5614035083,604.7567504539824,6.757042325643072,20,2,True,42
ABC-PMC,2760962.8099173554,753.9600097443446,5.793319163948229,20,2,True,42
ABC-PMC,4597976.833976834,1075.0244965884676,4.482759933916576,20,2,True,42
permABC-SMC,950.0,0.2002256989479065,7.074645059964203,20,2,True,42
permABC-SMC,89835.12544802867,18.64200820489881,3.0541324707907034,20,2,True,42
permABC-SMC,253896.55172413794,50.20275593586939,1.8058309065272165,20,2,True,42
permABC-SMC,403310.5175292154,90.73247435892962,1.1905010318502922,20,2,True,42
permABC-SMC,914095.3678474114,231.67841733314037,0.8215085239138796,20,2,True,42
permABC-SMC,757673.3001658376,168.63074909592942,0.7202472412407394,20,2,True,42
permABC-SMC,727121.5403128761,123.4942153472763,0.7202472412407394,20,2,True,42
permABC-SMC,4009410.810810811,698.8444001610214,0.6111543464356335,20,2,True,42
permABC-SMC,1716632.612966601,273.6642971722691,0.5826390069497078,20,2,True,42
permABC-SMC,3069763.803680981,454.5094975298898,0.5551055418130841,20,2,True,42
permABC-SMC-OS,13832.997987927567,3.3966424119784318,5.197775248532366,20,2,True,42
permABC-SMC-OS,22887.323943661973,1.9172438673330265,4.3662813141905295,20,2,True,42
permABC-SMC-OS,61522.84263959391,5.2694771979666,2.4084830847594856,20,2,True,42
permABC-SMC-OS,87836.43892339544,3.0152014447048336,1.8226134850502163,20,2,True,42
permABC-SMC-OS,124893.84288747345,6.518471278962056,1.3680495881886345,20,2,True,42
permABC-SMC-OS,193125.0,3.479022492061962,0.9760171029179796,20,2,True,42
permABC-SMC-OS,264125.2955082743,4.662000935692033,0.8154307430224327,20,2,True,42
permABC-SMC-OS,365200.0,8.127579323450725,0.6972510520847528,20,2,True,42
permABC-SMC-UM,80119.0476190476,7.971951223555065,1.4329119688141296,20,2,True,42
permABC-SMC-UM,32800.0,3.6756977353777205,1.9994470534653728,20,2,True,42
permABC-SMC-UM,26027.472527472528,2.9876563575241595,2.7267931086742303,20,2,True,42
permABC-SMC-UM,12115.755627009647,1.6440172287428878,3.6071519972286152,20,2,True,42
permABC-SMC-UM,5215.500945179584,0.8013900601796257,4.601082515264132,20,2,True,42
permABC-SMC-UM,2453.9877300613502,0.02367600341516039,5.644887157221219,20,2,True,42
permABC-SMC-UM,2066.115702479339,0.04448827879487976,7.024179527999314,20,2,True,42
