method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.02909861421585083,16.731120238986296,20,0,True,0
ABC-Vanilla,2154.4346900318833,0.06269106389848393,9.406239712248823,20,0,True,0
ABC-Vanilla,4641.588833612778,0.13506380281789926,8.470628540883848,20,0,True,0
ABC-Vanilla,10000.0,0.2909861421585083,7.827573784688562,20,0,True,0
ABC-Vanilla,21544.346900318837,0.6269106389848395,7.316541843367437,20,0,True,0
ABC-Vanilla,46415.88833612777,1.3506380281789923,6.888174502897329,20,0,True,0
ABC-Vanilla,100000.0,2.909861421585083,6.513798609752324,20,0,True,0
ABC-Vanilla,215443.4690031882,6.26910638984839,6.174975151515696,20,0,True,0
ABC-Vanilla,464158.8833612778,13.506380281789927,5.867587793238121,20,0,True,0
ABC-Vanilla,1000000.0,29.09861421585083,5.587702421608967,20,0,True,0
permABC-Vanilla,1000.0,0.04833344268798828,9.39863184804387,20,0,True,0
permABC-Vanilla,2154.4346900318833,0.10413124561566983,2.832097374259222,20,0,True,0
permABC-Vanilla,4641.588833612778,0.2243439678706296,2.2975373977174094,20,0,True,0
permABC-Vanilla,10000.0,0.4833344268798828,1.98367545153348,20,0,True,0
permABC-Vanilla,21544.346900318837,1.0413124561566984,1.7628406808467614,20,0,True,0
permABC-Vanilla,46415.88833612777,2.2434396787062956,1.5934081159211526,20,0,True,0
permABC-Vanilla,100000.0,4.833344268798828,1.45402246044536,20,0,True,0
permABC-Vanilla,215443.4690031882,10.413124561566976,1.336048586252469,20,0,True,0
permABC-Vanilla,464158.8833612778,22.43439678706296,1.2336135484323758,20,0,True,0
permABC-Vanilla,1000000.0,48.33344268798828,1.1477974389885548,20,0,True,0
ABC-SMC,950.0,0.18912841081619264,11.739164281449623,20,0,True,0
ABC-SMC,739000.0,159.80394154178853,6.778434562529193,20,0,True,0
ABC-SMC,678095.2380952381,77.06410555612474,6.778434562529193,20,0,True,0
ABC-SMC,779964.1577060932,59.903970029619,6.778434562529193,20,0,True,0
ABC-SMC,893746.5940054496,50.65350984032862,6.650596658099953,20,0,True,0
ABC-SMC,889125.4901960784,39.1845522441116,6.6192496326774535,20,0,True,0
ABC-SMC,974439.5973154362,34.83696291910722,6.6192496326774535,20,0,True,0
ABC-SMC,1131971.6088328075,33.996227505831314,6.6192496326774535,20,0,True,0
ABC-SMC,1260509.5447870777,34.065749799277455,6.593345824929015,20,0,True,0
ABC-SMC,1593152.8662420383,38.280151433246154,6.593345824929015,20,0,True,0
ABC-PMC,41356.06060606061,17.003186001922145,11.746085927918964,20,0,True,0
ABC-PMC,65640.71856287424,32.76567423415041,11.115914830215992,20,0,True,0
ABC-PMC,124907.80141843972,72.86022444988818,10.70653871380752,20,0,True,0
ABC-PMC,260836.25730994146,145.05915760296824,10.241914375899452,20,0,True,0
ABC-PMC,396826.0869565217,205.62792273535243,9.681635785099688,20,0,True,0
ABC-PMC,553483.5164835164,241.9878712940565,8.737676296052468,20,0,True,0
ABC-PMC,1140475.982532751,412.32678041708,7.885752857187352,20,0,True,0
ABC-PMC,1352325.5033557047,424.57821029144645,7.116891953611585,20,0,True,0
ABC-PMC,2386837.748344371,624.2778941495529,6.101845238727732,20,0,True,0
ABC-PMC,3423852.6011560694,799.1688949179787,5.231569561554188,20,0,True,0
permABC-SMC,950.0,0.25080730915069577,4.716868719776397,20,0,True,0
permABC-SMC,89003.48432055749,11.713026417257064,1.5707488878407074,20,0,True,0
permABC-SMC,218820.6896551724,43.073643832371154,0.9328068644237645,20,0,True,0
permABC-SMC,516815.5136268343,122.17020706060798,0.6421308562271805,20,0,True,0
permABC-SMC,1682156.5656565656,373.30426013830936,0.5604244298013048,20,0,True,0
permABC-SMC,1112706.940874036,205.6895860363095,0.5454899553032322,20,0,True,0
permABC-SMC,781051.6039051604,114.59654218814696,0.5443256227882297,20,0,True,0
permABC-SMC,864966.459627329,103.81557762252618,0.5443256227882297,20,0,True,0
permABC-SMC,1017127.7108433738,102.47757684753604,0.5443256227882297,20,0,True,0
permABC-SMC,4370663.755458515,1186.81954358863,0.5149300135359838,20,0,True,0
permABC-SMC-OS,13902.93225480283,8.22760818942372,2.317274074732117,20,0,True,0
permABC-SMC-OS,23143.438453713123,7.121991189547255,1.8172222466158972,20,0,True,0
permABC-SMC-OS,75939.84962406014,507.54154072070776,0.7594208202985596,20,0,True,0
permABC-SMC-OS,122262.24783861673,152.35750967212647,0.5957814125652853,20,0,True,0
permABC-SMC-OS,166172.3163841808,11.09131249667561,0.4864309608408712,20,0,True,0
permABC-SMC-OS,358544.3037974683,6.321061085045086,0.3955328865526984,20,0,True,0
permABC-SMC-OS,661094.674556213,11.606619520300237,0.3559178340220906,20,0,True,0
permABC-SMC-OS,875079.8722044729,19.381334987311316,0.3316192399632576,20,0,True,0
permABC-SMC-UM,55881.48148148148,7.813630368974475,0.8866424157277777,20,0,True,0
permABC-SMC-UM,21218.954248366015,3.255844427869211,1.1050405043544216,20,0,True,0
permABC-SMC-UM,34465.408805031446,5.993468206633562,1.3589395313101342,20,0,True,0
permABC-SMC-UM,16380.95238095238,4.563104014693598,1.6730668308577192,20,0,True,0
permABC-SMC-UM,11383.561643835616,2.1641491618874955,2.066977124690692,20,0,True,0
permABC-SMC-UM,4981.949458483753,0.4574883500591511,2.561460212068266,20,0,True,0
permABC-SMC-UM,2469.1358024691353,0.034279264049765494,3.4473014769193404,20,0,True,0
permABC-SMC-UM,2070.393374741201,0.012855956766669547,4.689803230056031,20,0,True,0
