method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.01589630675315857,18.89742660752634,20,4,True,0
ABC-Vanilla,2154.4346900318833,0.034247554712392915,11.91262773056578,20,4,True,0
ABC-Vanilla,4641.588833612778,0.07378411992114421,10.91082599021382,20,4,True,0
ABC-Vanilla,10000.0,0.15896306753158568,10.210865065462121,20,4,True,0
ABC-Vanilla,21544.346900318837,0.3424755471239292,9.64661888342757,20,4,True,0
ABC-Vanilla,46415.88833612777,0.7378411992114419,9.169729949326218,20,4,True,0
ABC-Vanilla,100000.0,1.589630675315857,8.752387647246104,20,4,True,0
ABC-Vanilla,215443.4690031882,3.424755471239289,8.374130355069678,20,4,True,0
ABC-Vanilla,464158.8833612778,7.378411992114421,8.02623213576684,20,4,True,0
ABC-Vanilla,1000000.0,15.896306753158568,7.69744369049496,20,4,True,0
permABC-Vanilla,1000.0,0.027759192943572996,9.27877320893559,20,4,True,0
permABC-Vanilla,2154.4346900318833,0.059805368244921935,4.174433861471841,20,4,True,0
permABC-Vanilla,4641.588833612778,0.12884675999699105,3.6141851881452975,20,4,True,0
permABC-Vanilla,10000.0,0.27759192943572997,3.235376611169922,20,4,True,0
permABC-Vanilla,21544.346900318837,0.5980536824492194,2.9421522613922764,20,4,True,0
permABC-Vanilla,46415.88833612777,1.2884675999699102,2.69752320089094,20,4,True,0
permABC-Vanilla,100000.0,2.7759192943573,2.493027229118572,20,4,True,0
permABC-Vanilla,215443.4690031882,5.980536824492189,2.3147466468591262,20,4,True,0
permABC-Vanilla,464158.8833612778,12.884675999699105,2.1599419815865346,20,4,True,0
permABC-Vanilla,1000000.0,27.759192943572998,2.008823601974258,20,4,True,0
ABC-SMC,950.0,0.12728134393692014,14.467793132279146,20,4,True,0
ABC-SMC,491643.6170212766,54.234507743348466,9.16940310600016,20,4,True,0
ABC-SMC,553048.048048048,32.93687720914503,9.062128536773425,20,4,True,0
ABC-SMC,670270.0729927009,27.62956358220456,9.062128536773425,20,4,True,0
ABC-SMC,826050.7726269315,26.019760078152284,9.062128536773425,20,4,True,0
ABC-SMC,989592.5925925927,25.186253329853958,9.062128536773425,20,4,True,0
ABC-SMC,1162419.1033138402,24.819946591152316,9.062128536773425,20,4,True,0
ABC-SMC,1348947.5655430711,24.914068809609287,9.062128536773425,20,4,True,0
ABC-SMC,1565648.3516483514,25.616530315343276,9.062128536773425,20,4,True,0
ABC-SMC,1949750.4873294346,28.632347857975358,9.062128536773425,20,4,True,0
ABC-PMC,27769.230769230762,6.617436653528457,14.368516473284563,20,4,True,0
ABC-PMC,89903.5087719298,35.132178298214015,13.72039916819075,20,4,True,0
ABC-PMC,270614.45783132524,116.36093266039008,12.95760394710324,20,4,True,0
ABC-PMC,357163.9344262295,183.4906256589733,12.259833908954313,20,4,True,0
ABC-PMC,885868.6868686868,412.27579345606796,10.853857149184632,20,4,True,0
ABC-PMC,1767351.6483516484,707.0924399973273,9.662545622974239,20,4,True,0
ABC-PMC,1465071.856287425,560.4374596458708,8.616555862003993,20,4,True,0
ABC-PMC,1895513.1578947364,622.5589646582017,7.01823860307639,20,4,True,0
ABC-PMC,2902578.94736842,807.2125296843677,6.017262322312619,20,4,True,0
ABC-PMC,3603342.50764526,827.1483771662464,4.656042880942484,20,4,True,0
permABC-SMC,950.0,0.16750669479370117,5.6324251329867066,20,4,True,0
permABC-SMC,108960.05154639175,14.998824663997926,2.5126238428676686,20,4,True,0
permABC-SMC,360786.74948240165,55.89056316122999,1.5223736999504949,20,4,True,0
permABC-SMC,677430.3482587064,121.52498586853936,0.9970036316244563,20,4,True,0
permABC-SMC,1230073.717948718,229.9095230224805,0.769118566446696,20,4,True,0
permABC-SMC,809512.6582278481,139.7109110709987,0.6643960960856912,20,4,True,0
permABC-SMC,2798742.0814479636,461.8678989453553,0.5899423618407096,20,4,True,0
permABC-SMC,1979662.234042553,292.51683170491077,0.5598464676614713,20,4,True,0
permABC-SMC,1685963.6015325668,212.23043616704095,0.5598464676614713,20,4,True,0
permABC-SMC,2354277.6470588236,267.541351851295,0.5548186551261253,20,4,True,0
permABC-SMC-OS,13819.095477386934,2.3044977355842016,4.476571437380952,20,4,True,0
permABC-SMC-OS,22772.772772772772,1.6425758272081286,3.908382781200322,20,4,True,0
permABC-SMC-OS,61648.01627670397,6.905169113485156,2.4349583628641622,20,4,True,0
permABC-SMC-OS,86581.63265306121,8.705815502575467,2.012318500667291,20,4,True,0
permABC-SMC-OS,122936.2591431557,12.146299423468898,1.6334851814008935,20,4,True,0
permABC-SMC-OS,185534.9344978166,7.383349941286978,1.2686322367435943,20,4,True,0
permABC-SMC-OS,253344.67120181405,11.554555098215738,1.0697293846426856,20,4,True,0
permABC-SMC-OS,330398.06996381184,17.014367143265154,0.9300614270409098,20,4,True,0
permABC-SMC-UM,6845.381526104417,1.1407512498189167,1.248408506250528,20,4,True,0
permABC-SMC-UM,5788.0,0.9332816958427429,1.5548737962972503,20,4,True,0
permABC-SMC-UM,21861.11111111111,4.574261550550108,1.9731255929340867,20,4,True,0
permABC-SMC-UM,30204.918032786885,7.223089698885308,2.577521921428509,20,4,True,0
permABC-SMC-UM,9947.169811320753,0.95779095055922,3.3692880212953944,20,4,True,0
permABC-SMC-UM,2911.2081513828234,0.039147168094240764,4.354686080134312,20,4,True,0
permABC-SMC-UM,2066.115702479339,0.050205263224515045,5.693900884783172,20,4,True,0
