method,epsilon,n_sim,time,n_sim_raw,time_raw,abs_err_sigma2,abs_err_mu_mean,seed,K,K_outliers
ABC-Vanilla,7.984588482856751,1000000.0,16.60806179046631,20000000.0,16.60806179046631,0.21520821806176693,2.5207729230273457,42,20,4
ABC-Vanilla,8.31092926367485,464158.8833612778,7.708779415457946,9283177.667225556,7.708779415457946,0.2281122422353059,2.6605177817745704,42,20,4
ABC-Vanilla,8.65490492266848,215443.4690031882,3.5780984455573623,4308869.380063764,3.5780984455573623,0.22255443618871973,2.777173118755755,42,20,4
ABC-Vanilla,9.032700519561768,100000.0,1.6608061790466309,2000000.0,1.6608061790466309,0.24306247474267773,2.9238768547011333,42,20,4
ABC-Vanilla,9.455228006722502,46415.88833612777,0.7708779415457945,928317.7667225554,0.7708779415457945,0.2508097223141754,3.117454996052633,42,20,4
ABC-Vanilla,9.933190195007553,21544.346900318837,0.35780984455573656,430886.93800637673,0.35780984455573656,0.24244594564641297,3.2960323018165907,42,20,4
ABC-Vanilla,10.502388954162598,10000.0,0.16608061790466308,200000.0,0.16608061790466308,0.24503657654590505,3.525165608980606,42,20,4
ABC-Vanilla,11.210479763486628,4641.588833612778,0.07708779415457946,92831.77667225557,0.07708779415457946,0.24450300041123407,3.782318653326741,42,20,4
ABC-Vanilla,12.216730117797852,2154.4346900318833,0.03578098445557365,43088.693800637666,0.03578098445557365,0.24733013431496698,4.105843816323466,42,20,4
ABC-Vanilla,19.528697967529297,1000.0,0.01660806179046631,20000.0,0.01660806179046631,0.24998699769260035,4.6688893907753535,42,20,4
permABC-Vanilla,1.9438183914402554,1000000.0,73.14490056037903,20000000.0,73.14490056037903,0.1678700011450358,0.4677149761731476,42,20,4
permABC-Vanilla,2.111091136758042,464158.8833612778,33.950855367677235,9283177.667225556,33.950855367677235,0.174109367098227,0.6088166987208341,42,20,4
permABC-Vanilla,2.308826993978592,215443.4690031882,15.758591116621302,4308869.380063764,15.758591116621302,0.18746638453515363,0.7394499022241328,42,20,4
permABC-Vanilla,2.5459601030480536,100000.0,7.3144900560379025,2000000.0,7.3144900560379025,0.19338029158022252,0.9392795817926198,42,20,4
permABC-Vanilla,2.818820563508643,46415.88833612777,3.395085536767722,928317.7667225554,3.395085536767722,0.20500123118564018,1.172617363268409,42,20,4
permABC-Vanilla,3.1585573078016917,21544.346900318837,1.5758591116621314,430886.93800637673,1.5758591116621314,0.2223476982450734,1.4676737944767968,42,20,4
permABC-Vanilla,3.5756116784211933,10000.0,0.7314490056037902,200000.0,0.7314490056037902,0.22712816169249028,1.8396272036310095,42,20,4
permABC-Vanilla,4.115578669274192,4641.588833612778,0.33950855367677235,92831.77667225557,0.33950855367677235,0.23666857125748342,2.3449156671213682,42,20,4
permABC-Vanilla,4.929408026081734,2154.4346900318833,0.15758591116621312,43088.693800637666,0.15758591116621312,0.2444679239214964,3.0875771789694113,42,20,4
permABC-Vanilla,11.566564544433144,1000.0,0.07314490056037902,20000.0,0.07314490056037902,0.25006465034110215,4.6690114751650755,42,20,4
ABC-SMC,9.315757915198555,195641.61073825503,12.28750280085826,2915060.0,9.154189586639404,0.18528054408442718,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,196983.89261744966,12.305564368331192,2935060.0,9.167645454406738,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,198326.1744966443,12.325634732342406,2955060.0,9.182597875595093,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,199668.45637583893,12.346190894210098,2975060.0,9.197912216186523,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,201010.73825503353,12.363434477940501,2995060.0,9.210758686065674,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,202353.0201342282,12.383956397139785,3015060.0,9.22604751586914,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,203695.30201342283,12.403718257110391,3035060.0,9.240770101547241,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,205037.58389261746,12.421366992412798,3055060.0,9.253918409347534,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,206379.8657718121,12.442256940291232,3075060.0,9.269481420516968,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,207722.1476510067,12.459993362426758,3095060.0,9.282695055007935,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,209064.42953020136,12.477918279250996,3115060.0,9.296049118041992,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,210406.71140939597,12.500961994964804,3135060.0,9.31321668624878,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,211748.9932885906,12.520505597927427,3155060.0,9.327776670455933,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,213091.27516778524,12.543668682943254,3175060.0,9.345033168792725,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,214433.55704697987,12.563955383812822,3195060.0,9.360146760940552,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,215775.83892617447,12.585627792665623,3215060.0,9.376292705535889,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,217118.12080536914,12.606508779845782,3235060.0,9.391849040985107,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,218460.40268456374,12.627268797599228,3255060.0,9.407315254211426,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,219802.6845637584,12.650189943761633,3275060.0,9.424391508102417,0.1852805440844274,3.20820436781589,42,20,4
ABC-SMC,9.315757915198555,221144.966442953,12.668461447594149,3295060.0,9.438003778457642,0.18528054408442807,3.208204367815889,42,20,4
ABC-SMC,9.315757915198555,222487.24832214764,12.689692862081847,3315060.0,9.453821182250977,0.1852805440844274,3.20820436781589,42,20,4
