method,seed,runtime_sec,eps_final,n_sim_total,mae_global,mae_local_mean,true_local_mean,est_local_mean,true_global,est_global
perm,0,0.908258,6.755626,8262.00,0.384651,0.135077,0.188291,0.053214,"[1.4099536636507697, 2.9179862439359936, 0.5436249914654229]","[1.2279517298728366, 2.060683716413377, 0.42897587204175547]"
perm,1,0.212375,6.582624,8262.00,0.370908,0.240982,0.188291,-0.052691,"[1.4099536636507697, 2.9179862439359936, 0.5436249914654229]","[1.2034013040706208, 2.1222927224504273, 0.4331482799180836]"
perm,2,0.254907,7.639307,8262.00,0.369815,0.253368,0.188291,-0.065077,"[1.4099536636507697, 2.9179862439359936, 0.5436249914654229]","[1.1801600744743983, 2.1277877821063846, 0.45417207569248097]"
smc,0,0.249510,8.021804,7050.00,0.362867,0.195581,0.188291,-0.007290,"[1.4099536636507697, 2.9179862439359936, 0.5436249914654229]","[1.1873185119826022, 2.1427966006262356, 0.45284961249552685]"
smc,1,0.023500,8.418744,7050.00,0.434863,0.159580,0.188291,0.028711,"[1.4099536636507697, 2.9179862439359936, 0.5436249914654229]","[1.1851896575979257, 1.935227240586006, 0.4465600906908162]"
smc,2,0.024920,9.010656,7050.00,0.372099,0.145553,0.188291,0.042738,"[1.4099536636507697, 2.9179862439359936, 0.5436249914654229]","[1.245328765038011, 2.069708743773918, 0.4402308770389644]"
