method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.012024150133132934,18.8196585019042,20,0,True,42
ABC-Vanilla,2154.4346900318833,0.02590524616497308,11.299309769045212,20,0,True,42
ABC-Vanilla,4641.588833612778,0.05581116099163343,10.309834433753103,20,0,True,42
ABC-Vanilla,10000.0,0.12024150133132934,9.618747856070355,20,0,True,42
ABC-Vanilla,21544.346900318837,0.25905246164973084,9.065200966907227,20,0,True,42
ABC-Vanilla,46415.88833612777,0.5581116099163341,8.593332706336014,20,0,True,42
ABC-Vanilla,100000.0,1.2024150133132934,8.185514615101711,20,0,True,42
ABC-Vanilla,215443.4690031882,2.5905246164973064,7.817650455053547,20,0,True,42
ABC-Vanilla,464158.8833612778,5.581116099163343,7.474894595242805,20,0,True,42
ABC-Vanilla,1000000.0,12.024150133132935,7.161727540183633,20,0,True,42
permABC-Vanilla,1000.0,0.024585529804229737,8.343227577952806,20,0,True,42
permABC-Vanilla,2154.4346900318833,0.05296791828304532,3.520176296173319,20,0,True,42
permABC-Vanilla,4641.588833612778,0.1141159206077669,2.9741527036536892,20,0,True,42
permABC-Vanilla,10000.0,0.24585529804229736,2.6251410601949345,20,0,True,42
permABC-Vanilla,21544.346900318837,0.5296791828304533,2.3638739680518075,20,0,True,42
permABC-Vanilla,46415.88833612777,1.1411592060776687,2.1539836236975898,20,0,True,42
permABC-Vanilla,100000.0,2.4585529804229735,1.9804623946928843,20,0,True,42
permABC-Vanilla,215443.4690031882,5.296791828304529,1.8307185879266379,20,0,True,42
permABC-Vanilla,464158.8833612778,11.41159206077669,1.7010828494055026,20,0,True,42
permABC-Vanilla,1000000.0,24.585529804229736,1.591042497139364,20,0,True,42
ABC-SMC,950.0,0.12228004932403563,13.767404859634183,20,0,True,42
ABC-SMC,1852.0,0.23725210428237914,13.256399403888599,20,0,True,42
ABC-SMC,2708.0,0.34942721128463744,12.941694211020986,20,0,True,42
ABC-SMC,3521.0,0.4641576170921326,12.658307010713857,20,0,True,42
ABC-SMC,4293.0,0.570608377456665,12.402359617816735,20,0,True,42
ABC-SMC,5026.0,0.6837807297706604,12.200879101352866,20,0,True,42
ABC-SMC,5722.0,0.792300283908844,12.081176760393003,20,0,True,42
ABC-SMC,6383.0,0.9008145689964294,11.972611725846486,20,0,True,42
ABC-SMC,7011.0,1.0087188601493835,11.851427681796082,20,0,True,42
ABC-SMC,7607.0,1.1164156198501587,11.714123294225017,20,0,True,42
ABC-SMC,8173.0,1.2324913620948792,11.611718914369998,20,0,True,42
ABC-SMC,8710.0,1.354706048965454,11.512874043610426,20,0,True,42
ABC-SMC,9220.0,1.4683435559272766,11.42961865870517,20,0,True,42
ABC-SMC,20985.626283367554,3.268604748547689,11.372345979434183,20,0,True,42
