method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.007915714979171753,1000000.0,7.915714979171753,22.322819181767162,13.321860517595557,44035.33789536015,25.399854403933325,20,8,False,42
ABC-Vanilla,2154.4346900318833,0.01705389094753263,464158.8833612779,3.674149425738502,14.562039651456328,-1.1272560131649803e-09,44065.5426228387,25.45064253122907,20,8,False,42
ABC-Vanilla,4641.588833612778,0.036741494257385016,215443.4690031884,1.7053890947532635,13.525980464536842,-1.1272560131649803e-09,44058.37483501518,25.45064253122907,20,8,False,42
ABC-Vanilla,10000.0,0.07915714979171753,100000.0,0.7915714979171753,12.79753653013095,-1.1272560131649803e-09,44131.31667005111,25.45064253122907,20,8,False,42
ABC-Vanilla,21544.346900318837,0.17053890947532635,46415.88833612779,0.3674149425738502,12.211236305524992,-1.1272560131649803e-09,44249.64607280829,25.45064253122907,20,8,False,42
ABC-Vanilla,46415.88833612777,0.36741494257385005,21544.346900318847,0.1705389094753264,11.710156669160316,-1.1272560131649803e-09,44158.227908874615,25.45064253122907,20,8,False,42
ABC-Vanilla,100000.0,0.7915714979171753,10000.0,0.07915714979171753,11.268814881610357,-1.1272560131649803e-09,44148.535556860304,25.45064253122907,20,8,False,42
ABC-Vanilla,215443.4690031882,1.7053890947532622,4641.588833612783,0.03674149425738505,10.871901030648182,-1.1272560131649803e-09,44036.07685916578,25.45064253122907,20,8,False,42
ABC-Vanilla,464158.8833612778,3.6741494257385017,2154.434690031884,0.017053890947532638,10.502691540057638,-1.1272560131649803e-09,44469.33560984435,25.45064253122907,20,8,False,42
ABC-Vanilla,1000000.0,7.915714979171754,1000.0,0.007915714979171753,10.140167914201779,-1.1272560131649803e-09,43686.13516274846,25.45064253122907,20,8,False,42
permABC-Vanilla,1000.0,0.02090637278556824,1000000.0,20.906372785568237,14.114356466617451,13.321860517595557,13076.789597399465,25.399854403933325,20,8,False,42
permABC-Vanilla,2154.4346900318833,0.04504141477196671,464158.8833612779,9.703878647283963,7.750470553107301,-1.1272560131649803e-09,9849.048054664403,25.45064253122907,20,8,False,42
permABC-Vanilla,4641.588833612778,0.09703878647283962,215443.4690031884,4.504141477196672,6.924171097546541,-1.1272560131649803e-09,8278.417471914792,25.45064253122907,20,8,False,42
permABC-Vanilla,10000.0,0.2090637278556824,100000.0,2.090637278556824,6.346367801400178,-1.1272560131649803e-09,7158.392243606117,25.45064253122907,20,8,False,42
permABC-Vanilla,21544.346900318837,0.45041414771966715,46415.88833612779,0.9703878647283963,5.88455469489673,-1.1272560131649803e-09,6288.518436169629,25.45064253122907,20,8,False,42
permABC-Vanilla,46415.88833612777,0.9703878647283959,21544.346900318847,0.4504141477196673,5.491554115010453,-1.1272560131649803e-09,5544.3607059391525,25.45064253122907,20,8,False,42
permABC-Vanilla,100000.0,2.090637278556824,10000.0,0.2090637278556824,5.142447604215926,-1.1272560131649803e-09,4939.2534831211005,25.45064253122907,20,8,False,42
permABC-Vanilla,215443.4690031882,4.504141477196668,4641.588833612783,0.09703878647283969,4.825253029968715,-1.1272560131649803e-09,4418.6706255024155,25.45064253122907,20,8,False,42
permABC-Vanilla,464158.8833612778,9.703878647283961,2154.434690031884,0.04504141477196673,4.553133889202081,-1.1272560131649803e-09,3992.0659355335597,25.45064253122907,20,8,False,42
permABC-Vanilla,1000000.0,20.906372785568237,1000.0,0.02090637278556824,4.28798644673912,-1.1272560131649803e-09,3635.4087819261067,25.45064253122907,20,8,False,42
ABC-SMC,950.0,0.009529149532318116,19000.0,0.1905829906463623,17.253670564093134,-1.1272560131649803e-09,43037.334732434196,25.45064253122907,20,8,False,42
ABC-SMC,1852.0,0.014122998714447022,37040.0,0.28245997428894043,16.622379076088123,-1.1272560131649803e-09,42226.89717085368,25.45064253122907,20,8,False,42
ABC-SMC,2708.0,0.018637359142303467,54160.0,0.37274718284606934,16.31509001286945,-1.1272560131649803e-09,41698.87741780597,25.45064253122907,20,8,False,42
ABC-SMC,3521.0,0.023263561725616454,70420.0,0.4652712345123291,16.03794718919126,-1.1272560131649803e-09,41222.18775351926,25.45064253122907,20,8,False,42
ABC-SMC,4293.0,0.027801406383514405,85860.0,0.5560281276702881,15.81804351801733,-1.1272560131649803e-09,40817.70157683531,25.45064253122907,20,8,False,42
ABC-SMC,5026.0,0.03227065801620483,100520.0,0.6454131603240967,15.61302367934613,-1.1272560131649803e-09,40465.8685876963,25.45064253122907,20,8,False,42
ABC-SMC,5722.0,0.03677022457122803,114440.0,0.7354044914245605,15.503369524955682,-1.1272560131649803e-09,39874.99820125932,25.45064253122907,20,8,False,42
ABC-SMC,6383.0,0.04129657745361328,127660.0,0.8259315490722656,15.357016832460491,-1.1272560131649803e-09,39539.95836738418,25.45064253122907,20,8,False,42
ABC-SMC,7011.0,0.045749974250793454,140220.0,0.9149994850158691,15.247538481415226,-1.1272560131649803e-09,39051.044754451585,25.45064253122907,20,8,False,42
