method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,M0,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.007295761108398437,1000000.0,7.2957611083984375,20.169046610078926,7.208403268576252,30965.206249442086,24.875435517882913,,20,4,True,42
ABC-Vanilla,2154.4346900318833,0.015718240822119055,464158.8833612779,3.386392329344858,12.150915207648799,-1.4561636059075208e-09,30960.82321269542,24.99148362733049,,20,4,True,42
ABC-Vanilla,4641.588833612778,0.033863923293448575,215443.4690031884,1.571824082211906,11.142909088293301,-1.4561636059075208e-09,30937.54102466541,24.99148362733049,,20,4,True,42
ABC-Vanilla,10000.0,0.07295761108398437,100000.0,0.7295761108398438,10.440811234876964,-1.4561636059075208e-09,30918.778233598146,24.99148362733049,,20,4,True,42
ABC-Vanilla,21544.346900318837,0.1571824082211906,46415.88833612779,0.33863923293448583,9.880931438209249,-1.4561636059075208e-09,30887.61083088804,24.99148362733049,,20,4,True,42
ABC-Vanilla,46415.88833612777,0.3386392329344856,21544.346900318847,0.15718240822119067,9.40161704878687,-1.4561636059075208e-09,30994.79055970117,24.99148362733049,,20,4,True,42
ABC-Vanilla,100000.0,0.7295761108398438,10000.0,0.07295761108398438,8.973834382863883,-1.4561636059075208e-09,30987.69288980573,24.99148362733049,,20,4,True,42
ABC-Vanilla,215443.4690031882,1.5718240822119045,4641.588833612783,0.0338639232934486,8.587403675379676,-1.4561636059075208e-09,30943.16906932899,24.99148362733049,,20,4,True,42
ABC-Vanilla,464158.8833612778,3.386392329344857,2154.434690031884,0.015718240822119065,8.24534524377746,-1.4561636059075208e-09,31207.58954796474,24.99148362733049,,20,4,True,42
ABC-Vanilla,1000000.0,7.2957611083984375,1000.0,0.007295761108398437,7.93284297313083,-1.4561636059075208e-09,30900.308905089834,24.99148362733049,,20,4,True,42
permABC-Vanilla,1000.0,0.017640539884567263,1000000.0,17.64053988456726,11.588401831842903,7.208403268576252,5623.949004519986,24.875435517882913,,20,4,True,42
permABC-Vanilla,2154.4346900318833,0.03800539107820274,464158.8833612779,8.188013294710826,4.843880316361297,10.886364400402217,3651.618311798014,24.9909666054213,,20,4,True,42
permABC-Vanilla,4641.588833612778,0.08188013294710825,215443.4690031884,3.800539107820275,4.06497431962289,10.886364400402217,2835.317505048498,24.9909666054213,,20,4,True,42
permABC-Vanilla,10000.0,0.17640539884567263,100000.0,1.7640539884567261,3.5487285713752277,-1.4561636059075208e-09,2309.690985175773,24.99148362733049,,20,4,True,42
permABC-Vanilla,21544.346900318837,0.3800539107820275,46415.88833612779,0.8188013294710826,3.1536454675445067,-1.4561636059075208e-09,1938.8421110986558,24.99148362733049,,20,4,True,42
permABC-Vanilla,46415.88833612777,0.8188013294710823,21544.346900318847,0.38005391078202766,2.83599756332382,-1.4561636059075208e-09,1661.825357950296,24.99148362733049,,20,4,True,42
permABC-Vanilla,100000.0,1.7640539884567263,10000.0,0.1764053988456726,2.5708892012910742,-1.4561636059075208e-09,1444.3081739197191,24.99148362733049,,20,4,True,42
permABC-Vanilla,215443.4690031882,3.800539107820272,4641.588833612783,0.08188013294710832,2.3445388468873847,-1.4561636059075208e-09,1273.2161078741374,24.99148362733049,,20,4,True,42
permABC-Vanilla,464158.8833612778,8.188013294710824,2154.434690031884,0.038005391078202756,2.1514262137301206,-1.4561636059075208e-09,1146.1651513041393,24.99148362733049,,20,4,True,42
permABC-Vanilla,1000000.0,17.64053988456726,1000.0,0.01764053988456726,1.9868602635612043,-1.4561636059075208e-09,1044.8253527572624,24.99148362733049,,20,4,True,42
ABC-SMC,950.0,0.006788504123687744,19000.0,0.13577008247375488,14.552091011973063,-1.4561636059075208e-09,29279.10268270089,24.99148362733049,,20,4,True,42
ABC-SMC,1852.0,0.01014665365219116,37040.0,0.20293307304382324,14.017102041213555,-1.4561636059075208e-09,28997.794425197037,24.99148362733049,,20,4,True,42
ABC-SMC,2708.0,0.013502049446105958,54160.0,0.27004098892211914,13.694101992220478,-1.4561636059075208e-09,28438.237728212032,24.99148362733049,,20,4,True,42
ABC-SMC,3521.0,0.017081356048583986,70420.0,0.3416271209716797,13.43533250249856,-1.4561636059075208e-09,28066.254080293354,24.99148362733049,,20,4,True,42
ABC-SMC,4293.0,0.020615756511688232,85860.0,0.41231513023376465,13.21385023022023,-1.4561636059075208e-09,27743.00724798422,24.99148362733049,,20,4,True,42
ABC-SMC,5026.0,0.023843109607696533,100520.0,0.47686219215393066,13.028254669534354,-1.4561636059075208e-09,27415.655291897772,24.99148362733049,,20,4,True,42
ABC-SMC,5722.0,0.029307615756988526,114440.0,0.5861523151397705,12.882686712037222,-1.4561636059075208e-09,27050.408982750647,24.99148362733049,,20,4,True,42
ABC-SMC,6383.0,0.037107980251312254,127660.0,0.7421596050262451,12.783068084799321,-1.4561636059075208e-09,26656.54754355062,24.99148362733049,,20,4,True,42
ABC-SMC,7011.0,0.04465771913528443,140220.0,0.8931543827056885,12.662666739055686,-1.4561636059075208e-09,26472.221185407267,24.99148362733049,,20,4,True,42
ABC-SMC,7607.0,0.048888325691223145,152140.0,0.9777665138244629,12.551738621884311,-1.4561636059075208e-09,26181.560866571148,24.99148362733049,,20,4,True,42
ABC-SMC,8173.0,0.052802765369415285,163460.0,1.0560553073883057,12.436428725176118,-1.4561636059075208e-09,25774.9371294159,24.99148362733049,,20,4,True,42
ABC-SMC,8710.0,0.05746171474456787,174200.0,1.1492342948913574,12.368157679492759,-1.4561636059075208e-09,25417.085068884422,24.99148362733049,,20,4,True,42
ABC-SMC,9220.0,0.06184496879577636,184400.0,1.2368993759155273,12.260387152131669,-1.4561636059075208e-09,25218.372294474142,24.99148362733049,,20,4,True,42
ABC-SMC,20985.626283367554,0.15844674570604517,204400.0,1.5432713031768799,12.190415945980172,-1.4561636059075208e-09,24827.381595995415,24.99148362733049,,20,4,True,42
ABC-SMC,22889.344262295082,0.1592602641856084,223400.0,1.554380178451538,12.098431924417925,-1.4561636059075208e-09,24611.617626668805,24.99148362733049,,20,4,True,42
ABC-SMC,24687.116564417178,0.1600651409484614,241440.0,1.5654370784759521,12.039239259940924,-1.4561636059075208e-09,24409.079543088774,24.99148362733049,,20,4,True,42
ABC-SMC,26223.123732251523,0.16034251536123653,258560.0,1.580977201461792,11.972452600771902,-1.4561636059075208e-09,24110.86905090783,24.99148362733049,,20,4,True,42
ABC-SMC,27815.789473684217,0.16164560067026243,274820.0,1.5970585346221924,11.873184267847712,-1.4561636059075208e-09,23742.78042200257,24.99148362733049,,20,4,True,42
ABC-SMC,29203.21931589537,0.16871021547068052,290280.0,1.6769795417785645,11.766917127169046,-1.4561636059075208e-09,23405.226737234276,24.99148362733049,,20,4,True,42
ABC-SMC,30682.09255533199,0.17658968566648917,304980.0,1.7553014755249023,11.68032926918076,-1.4561636059075208e-09,23434.433364411605,24.99148362733049,,20,4,True,42
ABC-SMC,32024.096385542165,0.18420185908735037,318960.0,1.8346505165100098,11.622761772219219,-1.4561636059075208e-09,23482.56886451683,24.99148362733049,,20,4,True,42
ABC-SMC,33359.437751004014,0.1933471505421711,332260.0,1.9257376194000244,11.552317979222073,-1.4561636059075208e-09,23206.180757976035,24.99148362733049,,20,4,True,42
ABC-SMC,34559.11823647295,0.20654944475284798,344900.0,2.061363458633423,11.492383745010986,-1.4561636059075208e-09,22750.97071639889,24.99148362733049,,20,4,True,42
ABC-SMC,35692.0,0.21751501560211184,356920.0,2.175150156021118,11.431009676994243,-1.4561636059075208e-09,22609.52416802393,24.99148362733049,,20,4,True,42
ABC-SMC,36836.0,0.22632391452789308,368360.0,2.2632391452789307,11.362240499677494,-1.4561636059075208e-09,22756.267320614632,24.99148362733049,,20,4,True,42
ABC-SMC,37922.0,0.23614492416381838,379220.0,2.3614492416381836,11.316657197787057,-1.4561636059075208e-09,22569.29499984911,24.99148362733049,,20,4,True,42
ABC-SMC,38952.0,0.2443536043167114,389520.0,2.4435360431671143,11.26190178209258,-1.4561636059075208e-09,22693.95881078532,24.99148362733049,,20,4,True,42
ABC-SMC,82898.78542510122,0.4987165995454982,409520.0,2.4636600017547607,11.197691779888144,-1.4561636059075208e-09,22405.680737339164,24.99148362733049,,20,4,True,42
ABC-SMC,85704.0,0.496683406829834,428520.0,2.48341703414917,11.162723683042715,-1.4561636059075208e-09,22602.423053335577,24.99148362733049,,20,4,True,42
ABC-SMC,88264.82213438733,0.5083215566491891,446620.0,2.5721070766448975,11.118452430715394,-1.4561636059075208e-09,21992.876431559336,24.99148362733049,,20,4,True,42
ABC-SMC,90593.75,0.521372864022851,463840.0,2.669429063796997,11.066282856580546,-1.4561636059075208e-09,22060.930761760763,24.99148362733049,,20,4,True,42
ABC-SMC,92350.0,0.531117136661823,480220.0,2.7618091106414795,11.011202658096353,-1.4561636059075208e-09,22176.700422892274,24.99148362733049,,20,4,True,42
ABC-SMC,94262.35741444868,0.5391465847029885,495820.0,2.8359110355377197,10.9771541671137,-1.4561636059075208e-09,22239.00417333439,24.99148362733049,,20,4,True,42
ABC-SMC,97079.84790874526,0.5537366685758526,510640.0,2.9126548767089844,10.917892254541993,-1.4561636059075208e-09,21948.4009530155,24.99148362733049,,20,4,True,42
ABC-SMC,99393.93939393939,0.5659505724906921,524800.0,2.9882190227508545,10.877664411782298,-1.4561636059075208e-09,21845.787672311213,24.99148362733049,,20,4,True,42
ABC-SMC,101180.45112781956,0.5758387253696757,538280.0,3.063462018966675,10.861132749007949,-1.4561636059075208e-09,21983.99048073889,24.99148362733049,,20,4,True,42
ABC-SMC,103205.99250936329,0.5865234560734324,551120.0,3.132035255432129,10.825882090452536,-1.4561636059075208e-09,21875.359814040727,24.99148362733049,,20,4,True,42
ABC-SMC,105093.28358208956,0.597135833839872,563300.0,3.200648069381714,10.792274915011701,-1.4561636059075208e-09,21872.352268450693,24.99148362733049,,20,4,True,42
ABC-SMC,106462.96296296296,0.6054437160491943,574900.0,3.2693960666656494,10.743726002426454,-1.4561636059075208e-09,21788.554797575132,24.99148362733049,,20,4,True,42
ABC-SMC,107716.91176470589,0.6137660321067362,585980.0,3.3388872146606445,10.692285485281431,-1.4561636059075208e-09,21639.168820947263,24.99148362733049,,20,4,True,42
ABC-SMC,109252.74725274724,0.6235326602782084,596520.0,3.4044883251190186,10.650106427453082,-1.4561636059075208e-09,21279.12375880987,24.99148362733049,,20,4,True,42
ABC-SMC,110682.48175182483,0.6334702898986148,606540.0,3.471417188644409,10.5716209657266,-1.4561636059075208e-09,20971.559243157346,24.99148362733049,,20,4,True,42
