method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.008294394969940186,1000000.0,8.294394969940186,17.26362545334467,4.817892587136681,21718.022780876156,23.037772832747105,20,0,False,42
ABC-Vanilla,2154.4346900318833,0.017869732256065095,464158.8833612779,3.849917107404837,10.111077634669925,5.258848097791147,21699.327508560724,24.186003905308947,20,0,False,42
ABC-Vanilla,4641.588833612778,0.03849917107404836,215443.4690031884,1.78697322560651,9.152481478929124,-1.669372470637709e-09,21723.11510716096,24.466884133506767,20,0,False,42
ABC-Vanilla,10000.0,0.08294394969940186,100000.0,0.8294394969940186,8.486368997716532,-1.669372470637709e-09,21764.736086930086,24.466884133506767,20,0,False,42
ABC-Vanilla,21544.346900318837,0.178697322560651,46415.88833612779,0.3849917107404837,7.9555168088344415,-1.669372470637709e-09,21764.435906188835,24.466884133506767,20,0,False,42
ABC-Vanilla,46415.88833612777,0.3849917107404835,21544.346900318847,0.17869732256065107,7.508726197192471,-1.669372470637709e-09,21766.424271124906,24.466884133506767,20,0,False,42
ABC-Vanilla,100000.0,0.8294394969940185,10000.0,0.08294394969940186,7.117504270239677,-1.669372470637709e-09,21777.30683118196,24.466884133506767,20,0,False,42
ABC-Vanilla,215443.4690031882,1.7869732256065085,4641.588833612783,0.0384991710740484,6.76959890197657,-1.669372470637709e-09,21691.01203830218,24.466884133506767,20,0,False,42
ABC-Vanilla,464158.8833612778,3.849917107404836,2154.434690031884,0.017869732256065102,6.445911679896925,-1.669372470637709e-09,21635.05019041222,24.466884133506767,20,0,False,42
ABC-Vanilla,1000000.0,8.294394969940186,1000.0,0.008294394969940186,6.1534959961716,-1.669372470637709e-09,21533.34519106719,24.466884133506767,20,0,False,42
permABC-Vanilla,1000.0,0.018460873842239378,1000000.0,18.46087384223938,10.30776293581653,4.817892587136681,2921.8384697270494,23.037772832747105,20,0,False,42
permABC-Vanilla,2154.4346900318833,0.0397727470140227,464158.8833612779,8.568778588487255,3.176998077233813,3.139070631292264,1628.618077728339,23.269824239487363,20,0,False,42
permABC-Vanilla,4641.588833612778,0.08568778588487252,215443.4690031884,3.9772747014022714,2.492686209964091,-1.669372470637709e-09,1237.3720517591973,24.466884133506767,20,0,False,42
permABC-Vanilla,10000.0,0.18460873842239378,100000.0,1.846087384223938,2.1046105386441423,-1.669372470637709e-09,1023.7088858604285,24.466884133506767,20,0,False,42
permABC-Vanilla,21544.346900318837,0.397727470140227,46415.88833612779,0.8568778588487256,1.8403856692343574,-1.669372470637709e-09,887.7662618664141,24.466884133506767,20,0,False,42
permABC-Vanilla,46415.88833612777,0.856877858848725,21544.346900318847,0.39772747014022725,1.643307468933227,-1.669372470637709e-09,792.9125594255715,24.466884133506767,20,0,False,42
permABC-Vanilla,100000.0,1.8460873842239378,10000.0,0.1846087384223938,1.4882218525713082,-1.669372470637709e-09,724.1351007559592,24.466884133506767,20,0,False,42
permABC-Vanilla,215443.4690031882,3.9772747014022674,4641.588833612783,0.08568778588487261,1.3652552253503911,-1.669372470637709e-09,672.5830062853897,24.466884133506767,20,0,False,42
permABC-Vanilla,464158.8833612778,8.568778588487252,2154.434690031884,0.03977274701402272,1.2604247922901053,-1.669372470637709e-09,633.9911502535443,24.466884133506767,20,0,False,42
