method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.01372773814201355,19.639434759219245,20,2,True,42
ABC-Vanilla,2154.4346900318833,0.029575515268827825,12.296174478706838,20,2,True,42
ABC-Vanilla,4641.588833612778,0.06371851607073033,11.289063533368273,20,2,True,42
ABC-Vanilla,10000.0,0.1372773814201355,10.580478646829944,20,2,True,42
ABC-Vanilla,21544.346900318837,0.2957551526882783,10.01067103150723,20,2,True,42
ABC-Vanilla,46415.88833612777,0.637185160707303,9.523403660817197,20,2,True,42
ABC-Vanilla,100000.0,1.372773814201355,9.10182909110623,20,2,True,42
ABC-Vanilla,215443.4690031882,2.9575515268827806,8.721874296249949,20,2,True,42
ABC-Vanilla,464158.8833612778,6.371851607073032,8.371168648262758,20,2,True,42
ABC-Vanilla,1000000.0,13.72773814201355,8.046810537706413,20,2,True,42
permABC-Vanilla,1000.0,0.026598098993301393,11.177890603054749,20,2,True,42
permABC-Vanilla,2154.4346900318833,0.05730386716007063,4.907853179279427,20,2,True,42
permABC-Vanilla,4641.588833612778,0.12345743928263501,4.135902430099398,20,2,True,42
permABC-Vanilla,10000.0,0.2659809899330139,3.6244473125963634,20,2,True,42
permABC-Vanilla,21544.346900318837,0.5730386716007064,3.2351025786880423,20,2,True,42
permABC-Vanilla,46415.88833612777,1.2345743928263497,2.9202990643972124,20,2,True,42
permABC-Vanilla,100000.0,2.6598098993301393,2.6595567468881143,20,2,True,42
permABC-Vanilla,215443.4690031882,5.730386716007059,2.4345208152295155,20,2,True,42
permABC-Vanilla,464158.8833612778,12.345743928263502,2.2536538784098523,20,2,True,42
permABC-Vanilla,1000000.0,26.59809899330139,2.0832456312508874,20,2,True,42
ABC-SMC,950.0,0.11986085176467895,14.678172791536069,20,2,True,42
ABC-SMC,1852.0,0.23287805318832397,14.250916483854157,20,2,True,42
ABC-SMC,2708.0,0.3506038188934326,13.910150333691146,20,2,True,42
ABC-SMC,3521.0,0.4621922612190246,13.66869461636877,20,2,True,42
ABC-SMC,4293.0,0.5697703123092652,13.480337621652065,20,2,True,42
ABC-SMC,5026.0,0.6843623638153076,13.284416945319787,20,2,True,42
ABC-SMC,5722.0,0.7988162636756897,13.10052351211988,20,2,True,42
ABC-SMC,6383.0,0.9067453622817994,12.979055310941753,20,2,True,42
ABC-SMC,7011.0,1.014308297634125,12.84850341687729,20,2,True,42
ABC-SMC,7607.0,1.1258667469024657,12.766772882962535,20,2,True,42
ABC-SMC,8173.0,1.2399927496910095,12.656070948302304,20,2,True,42
ABC-SMC,8710.0,1.3584132432937623,12.544963796168382,20,2,True,42
ABC-SMC,9220.0,1.4748626589775087,12.43863610519414,20,2,True,42
ABC-SMC,20942.62295081967,3.2749606693377262,12.366829213381008,20,2,True,42
ABC-SMC,22749.49083503055,3.2613117194709855,12.270663700471733,20,2,True,42
ABC-SMC,24389.89898989899,3.4689853648946745,12.221217251007905,20,2,True,42
ABC-SMC,26070.56451612903,3.6971850020270196,12.139313218408422,20,2,True,42
ABC-SMC,27659.95975855131,3.9177285113804774,12.061094181344693,20,2,True,42
ABC-SMC,28874.75149105368,4.102923713668915,11.999968789873869,20,2,True,42
ABC-SMC,30283.73015873016,4.343209805942717,11.936581808738875,20,2,True,42
ABC-SMC,31676.5873015873,4.574425187375811,11.85656425345658,20,2,True,42
ABC-SMC,32867.58893280632,4.7885105543928175,11.810596366319942,20,2,True,42
ABC-SMC,34051.282051282054,5.0117041232317865,11.73093917411601,20,2,True,42
ABC-SMC,35167.32283464567,5.231602642479844,11.678153846171815,20,2,True,42
ABC-SMC,36291.33858267716,5.449868891182847,11.632051442527112,20,2,True,42
ABC-SMC,37138.94324853229,5.667921498330372,11.563843336590462,20,2,True,42
ABC-SMC,37996.101364522416,5.872960699464378,11.524230220573418,20,2,True,42
ABC-SMC,79119.69111969112,11.658536237179083,11.478396930101857,20,2,True,42
ABC-SMC,82488.46153846153,12.068560948738686,11.449985177310532,20,2,True,42
ABC-SMC,85651.34099616857,12.47264000647826,11.401471809774064,20,2,True,42
ABC-SMC,87622.64150943395,12.729113956667339,11.331072390896678,20,2,True,42
ABC-SMC,90383.45864661655,13.120264621605552,11.285019422589023,20,2,True,42
ABC-SMC,92966.29213483146,13.50175758426109,11.22527207484776,20,2,True,42
ABC-SMC,95384.32835820896,13.883027300905825,11.157636556140767,20,2,True,42
ABC-SMC,97657.99256505576,14.320548139097076,11.108392243356215,20,2,True,42
ABC-SMC,99051.47058823529,14.600627606405933,11.080339668570732,20,2,True,42
ABC-SMC,101029.30402930401,14.978115375225357,11.051622592588112,20,2,True,42
ABC-SMC,102137.68115942027,15.234353274538893,11.027044200537238,20,2,True,42
ABC-SMC,103482.01438848919,15.540966069955617,10.987110824583917,20,2,True,42
ABC-SMC,104714.2857142857,15.838068085057392,10.937949473695957,20,2,True,42
ABC-SMC,106589.2857142857,16.232894105570654,10.893272219196938,20,2,True,42
ABC-SMC,108374.99999999999,16.62240339176995,10.842648285706613,20,2,True,42
ABC-SMC,227137.68115942026,33.77117169076117,10.815274673667936,20,2,True,42
ABC-SMC,232381.29496402873,34.49479813198391,10.750142060570427,20,2,True,42
ABC-SMC,235567.37588652482,34.832884656622056,10.730195007203692,20,2,True,42
ABC-SMC,240063.38028169013,35.41283649458012,10.706648091235524,20,2,True,42
ABC-SMC,245950.70422535212,36.19095976923553,10.667018008293955,20,2,True,42
ABC-SMC,248083.33333333334,36.50114859143893,10.635789419787821,20,2,True,42
ABC-SMC,248217.68707482994,36.549101313766165,10.613759029034469,20,2,True,42
ABC-SMC,249832.21476510068,36.8405016476676,10.601263341156885,20,2,True,42
ABC-SMC,251172.18543046358,36.429865154998986,10.574938186794316,20,2,True,42
ABC-SMC,252254.9019607843,36.715236208797286,10.550298731794156,20,2,True,42
ABC-SMC,256418.30065359478,37.44072516759236,10.511580681671893,20,2,True,42
ABC-SMC,260379.08496732023,38.29344931770773,10.45021186813776,20,2,True,42
ABC-SMC,259076.9230769231,37.595702898808014,10.411814766532832,20,2,True,42
ABC-SMC,259310.1265822785,37.85931996152371,10.372738143475502,20,2,True,42
ABC-SMC,260993.7106918239,38.35113086040665,10.329999952823481,20,2,True,42
ABC-SMC,262518.75,38.83419908583164,10.269952340043234,20,2,True,42
ABC-SMC,494287.35632183915,71.49523565138895,10.1765772311014,20,2,True,42
ABC-SMC,493921.3483146068,69.96126067772342,10.086698228491672,20,2,True,42
ABC-SMC,498666.66666666674,70.55290685759651,10.053644882885747,20,2,True,42
ABC-SMC,508477.7777777778,71.8171156777276,10.025525617364455,20,2,True,42
ABC-SMC,517811.1111111111,73.04807623227438,10.013408899052685,20,2,True,42
ABC-SMC,509806.45161290327,71.96162157161262,9.962987551802701,20,2,True,42
ABC-SMC,512595.7446808511,72.40780959738062,9.946995843629173,20,2,True,42
ABC-SMC,509614.5833333333,72.0952469855547,9.934847892717494,20,2,True,42
ABC-SMC,506377.55102040817,70.65167463555629,9.925422810263717,20,2,True,42
ABC-SMC,513336.7346938776,71.79274303572518,9.910187377490816,20,2,True,42
ABC-SMC,509620.0,71.54256665706635,9.909958874706774,20,2,True,42
ABC-SMC,505823.5294117647,71.49781982103984,9.904625728347629,20,2,True,42
ABC-SMC,511705.88235294115,72.57120469037224,9.848526193968377,20,2,True,42
ABC-SMC,512368.93203883496,72.9866250047406,9.800482438468626,20,2,True,42
ABC-SMC,512846.1538461538,73.39938626839565,9.793701095973702,20,2,True,42
ABC-SMC,508235.8490566038,73.09510111808777,9.77642879124183,20,2,True,42
ABC-SMC,508364.4859813084,73.5107015226489,9.769073213391668,20,2,True,42
ABC-SMC,508342.5925925926,73.90898355731258,9.76858437462551,20,2,True,42
ABC-SMC,887317.4603174604,126.80560842392937,9.7483324633749,20,2,True,42
ABC-SMC,875400.0,122.95203575721155,9.7483324633749,20,2,True,42
ABC-SMC,864194.0298507463,119.3283308797808,9.7483324633749,20,2,True,42
ABC-SMC,853637.6811594202,115.91409358425416,9.7483324633749,20,2,True,42
ABC-SMC,843676.0563380282,112.6927609175024,9.7483324633749,20,2,True,42
ABC-SMC,822986.4864864865,108.21374896410349,9.7483324633749,20,2,True,42
ABC-SMC,814486.8421052631,105.40731094385448,9.7483324633749,20,2,True,42
ABC-SMC,786262.5,100.17602667212486,9.7483324633749,20,2,True,42
ABC-SMC,769891.5662650602,96.59283592040278,9.7483324633749,20,2,True,42
ABC-SMC,754662.7906976745,93.26065210408944,9.7483324633749,20,2,True,42
ABC-SMC,748875.0000000001,91.1765605211258,9.7483324633749,20,2,True,42
ABC-SMC,727184.7826086958,87.24628181561181,9.7483324633749,20,2,True,42
ABC-SMC,730118.2795698926,86.34171306446035,9.7483324633749,20,2,True,42
ABC-SMC,710319.587628866,82.8148759517473,9.7483324633749,20,2,True,42
ABC-SMC,699010.0,80.47639560699463,9.7483324633749,20,2,True,42
ABC-SMC,688359.2233009709,78.16251909848555,9.7483324633749,20,2,True,42
ABC-SMC,671971.9626168224,75.26970266181732,9.7483324633749,20,2,True,42
ABC-SMC,662736.3636363636,73.24481086297469,9.7483324633749,20,2,True,42
ABC-SMC,665774.7747747748,72.61250717145901,9.7483324633749,20,2,True,42
ABC-SMC,645698.2758620689,69.60807370728459,9.7483324633749,20,2,True,42
ABC-SMC,643228.813559322,68.45484032469281,9.7483324633749,20,2,True,42
ABC-SMC,635545.4545454545,66.78321863994125,9.7483324633749,20,2,True,42
ABC-SMC,633341.4634146342,65.72292732998608,9.7483324633749,20,2,True,42
ABC-SMC,636298.3870967742,65.218202529415,9.7483324633749,20,2,True,42
ABC-SMC,634134.9206349206,64.20742670694987,9.7483324633749,20,2,True,42
ABC-SMC,632039.0625,63.22825355455279,9.7483324633749,20,2,True,42
ABC-SMC,630007.6923076923,62.27919816970825,9.7483324633749,20,2,True,42
ABC-SMC,637700.0,62.302728616274315,9.7483324633749,20,2,True,42
ABC-SMC,645392.3076923076,62.32653938806973,9.7483324633749,20,2,True,42
ABC-SMC,633589.5522388059,60.489169964149816,9.7483324633749,20,2,True,42
ABC-SMC,627014.598540146,59.18711763228813,9.7483324633749,20,2,True,42
ABC-SMC,625187.0503597121,58.35763541914575,9.7483324633749,20,2,True,42
ABC-SMC,610423.6111111111,56.35278109047148,9.7483324633749,20,2,True,42
ABC-SMC,608910.9589041097,55.60210290020459,9.7483324633749,20,2,True,42
ABC-SMC,611571.4285714285,55.24471925229442,9.7483324633749,20,2,True,42
ABC-SMC,586458.0645161291,52.487947017915786,9.7483324633749,20,2,True,42
ABC-SMC,589108.9743589744,52.17204216199044,9.7483324633749,20,2,True,42
ABC-SMC,591726.1146496816,51.85960242702703,9.7483324633749,20,2,True,42
ABC-SMC,583236.0248447205,50.590576000095155,9.7483324633749,20,2,True,42
ABC-SMC,589447.2049689441,50.609855252023074,9.7483324633749,20,2,True,42
ABC-SMC,591981.4814814816,50.31664570172627,9.7483324633749,20,2,True,42
ABC-SMC,598154.3209876543,50.33595245561482,9.7483324633749,20,2,True,42
ABC-SMC,593339.3939393938,49.43960486036358,9.7483324633749,20,2,True,42
ABC-SMC,599399.9999999999,49.458786357532844,9.7483324633749,20,2,True,42
ABC-SMC,601813.2530120481,49.17987592249031,9.7483324633749,20,2,True,42
ABC-SMC,604197.6047904191,48.90411856645595,9.7483324633749,20,2,True,42
ABC-SMC,602964.4970414201,48.343704155916285,9.7483324633749,20,2,True,42
ABC-SMC,605300.0,48.07757763301624,9.7483324633749,20,2,True,42
ABC-SMC,604075.5813953489,47.53673339999,9.7483324633749,20,2,True,42
ABC-SMC,602879.3103448277,47.008040170559944,9.7483324633749,20,2,True,42
ABC-SMC,601710.2272727274,46.49177037856796,9.7483324633749,20,2,True,42
ABC-SMC,607392.0454545455,46.51083377274601,9.7483324633749,20,2,True,42
ABC-SMC,599450.0,45.49504518508912,9.7483324633749,20,2,True,42
ABC-SMC,605005.5555555556,45.51242543591394,9.7483324633749,20,2,True,42
ABC-SMC,603851.6483516485,45.029641835244156,9.7483324633749,20,2,True,42
ABC-SMC,609346.1538461539,45.046368798056804,9.7483324633749,20,2,True,42
ABC-SMC,608157.6086956522,44.57362780104513,9.7483324633749,20,2,True,42
ABC-SMC,606994.6236559141,44.11088933226883,9.7483324633749,20,2,True,42
ABC-SMC,612370.9677419356,44.127286377773494,9.7483324633749,20,2,True,42
ABC-SMC,601575.9162303663,42.988343263795855,9.7483324633749,20,2,True,42
ABC-SMC,603651.0416666666,42.78064693013827,9.7483324633749,20,2,True,42
ABC-SMC,596433.6734693877,41.923474535650136,9.7483324633749,20,2,True,42
ABC-SMC,601535.7142857143,41.93916223487076,9.7483324633749,20,2,True,42
ABC-SMC,606637.7551020408,41.955045656282074,9.7483324633749,20,2,True,42
ABC-SMC,605560.606060606,41.54674573378129,9.7483324633749,20,2,True,42
ABC-SMC,604505.0,41.14670878648758,9.7483324633749,20,2,True,42
ABC-SMC,606472.6368159202,40.95732584521545,9.7483324633749,20,2,True,42
ABC-SMC,611447.7611940298,40.97273901327332,9.7483324633749,20,2,True,42
ABC-SMC,607357.8431372549,40.38542053278755,9.7483324633749,20,2,True,42
ABC-SMC,612259.8039215687,40.40042763831569,9.7483324633749,20,2,True,42
ABC-SMC,614151.2195121951,40.218515512419906,9.7483324633749,20,2,True,42
ABC-SMC,616024.2718446603,40.03837253283528,9.7483324633749,20,2,True,42
ABC-SMC,620878.6407766991,40.053074452483536,9.7483324633749,20,2,True,42
ABC-SMC,625733.0097087378,40.0680373015913,9.7483324633749,20,2,True,42
ABC-SMC,624524.0384615385,39.697775645897934,9.7483324633749,20,2,True,42
ABC-SMC,626320.5741626795,39.52273295826889,9.7483324633749,20,2,True,42
ABC-SMC,631105.2631578947,39.53750715301368,9.7483324633749,20,2,True,42
ABC-SMC,626891.5094339623,38.99269340173254,9.7483324633749,20,2,True,42
ABC-SMC,628643.1924882629,38.82448779585216,9.7483324633749,20,2,True,42
ABC-SMC,633338.0281690141,38.839258946163554,9.7483324633749,20,2,True,42
ABC-SMC,635051.4018691588,38.672321923425265,9.7483324633749,20,2,True,42
ABC-SMC,630880.1843317972,38.15212485977032,9.7483324633749,20,2,True,42
ABC-SMC,632573.3944954128,37.99184812318295,9.7483324633749,20,2,True,42
ABC-SMC,637160.5504587156,38.006524536587776,9.7483324633749,20,2,True,42
ABC-SMC,633036.1990950226,37.50472732259138,9.7483324633749,20,2,True,42
ABC-SMC,631843.0493273543,37.1819979406793,9.7483324633749,20,2,True,42
ABC-SMC,630671.1111111111,36.865229023827446,9.7483324633749,20,2,True,42
ABC-SMC,632305.3097345132,36.715770769963214,9.7483324633749,20,2,True,42
ABC-SMC,631144.736842105,36.407048921836044,9.7483324633749,20,2,True,42
ABC-SMC,624573.2758620689,35.79259293860402,9.7483324633749,20,2,True,42
ABC-SMC,623508.5470085469,35.49989940773727,9.7483324633749,20,2,True,42
ABC-SMC,627782.0512820511,35.512902644964356,9.7483324633749,20,2,True,42
ABC-SMC,624054.852320675,35.076362573647806,9.7483324633749,20,2,True,42
ABC-SMC,625634.4537815127,34.94224949043338,9.7483324633749,20,2,True,42
ABC-SMC,627200.8368200839,34.80914736392608,9.7483324633749,20,2,True,42
ABC-SMC,628754.1666666667,34.676888187726334,9.7483324633749,20,2,True,42
ABC-SMC,627690.0826446281,34.40310152109004,9.7483324633749,20,2,True,42
ABC-SMC,624085.7142857143,33.994622571127756,9.7483324633749,20,2,True,42
ABC-SMC,627963.2653061225,34.46549897291223,9.746477430586479,20,2,True,42
ABC-SMC,621497.9919678714,34.38032549547862,9.738987653444108,20,2,True,42
ABC-SMC,619956.1752988048,34.56156595769632,9.710622686478098,20,2,True,42
ABC-SMC,620821.4285714285,34.89419666547624,9.64763727594861,20,2,True,42
