method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.02868762278556824,1000000.0,28.687622785568237,18.468827226518332,2.043485866917818,26616.10054458226,21.07606259090371,20,2,False,42
ABC-Vanilla,2154.4346900318833,0.0618056097037773,464158.8833612779,13.315614958438907,11.238379718080093,2.043485866917818,26634.850646854473,21.07606259090371,20,2,False,42
ABC-Vanilla,4641.588833612778,0.13315614958438904,215443.4690031884,6.180560970377732,10.253706414501908,2.043485866917818,26648.813267378348,21.07606259090371,20,2,False,42
ABC-Vanilla,10000.0,0.2868762278556824,100000.0,2.868762278556824,9.564936484111724,-1.607327038047289e-09,26694.51494519301,24.656386331063935,20,2,False,42
ABC-Vanilla,21544.346900318837,0.6180560970377731,46415.88833612779,1.3315614958438906,9.013872029863844,-1.607327038047289e-09,26699.406359145636,24.656386331063935,20,2,False,42
ABC-Vanilla,46415.88833612777,1.33156149584389,21544.346900318847,0.6180560970377733,8.546411006232221,-1.607327038047289e-09,26631.400346597686,24.656386331063935,20,2,False,42
ABC-Vanilla,100000.0,2.8687622785568236,10000.0,0.2868762278556824,8.135498114586978,-1.607327038047289e-09,26457.452602283298,24.656386331063935,20,2,False,42
ABC-Vanilla,215443.4690031882,6.1805609703777264,4641.588833612783,0.13315614958438915,7.7606834157736095,-1.607327038047289e-09,26347.492033445782,24.656386331063935,20,2,False,42
ABC-Vanilla,464158.8833612778,13.315614958438903,2154.434690031884,0.061805609703777326,7.42382866358464,-1.607327038047289e-09,26406.387763134677,24.656386331063935,20,2,False,42
ABC-Vanilla,1000000.0,28.687622785568237,1000.0,0.02868762278556824,7.112737135548852,-1.607327038047289e-09,26440.891866797523,24.656386331063935,20,2,False,42
permABC-Vanilla,1000.0,0.03578807806968689,1000000.0,35.78807806968689,11.478731922430805,2.043485866917818,4798.052720030114,21.07606259090371,20,2,False,42
permABC-Vanilla,2154.4346900318833,0.07710307688290272,464158.8833612779,16.611354354472105,4.355059684841743,2.043485866917818,2791.4191955528577,21.07606259090371,20,2,False,42
permABC-Vanilla,4641.588833612778,0.16611354354472102,215443.4690031884,7.710307688290274,3.4815859437463867,-1.607327038047289e-09,2039.7167221276475,24.656386331063935,20,2,False,42
permABC-Vanilla,10000.0,0.3578807806968689,100000.0,3.578807806968689,2.925640673177962,-1.607327038047289e-09,1603.7589385781841,24.656386331063935,20,2,False,42
permABC-Vanilla,21544.346900318837,0.7710307688290272,46415.88833612779,1.6611354354472105,2.526922884084584,-1.607327038047289e-09,1319.5639552587397,24.656386331063935,20,2,False,42
permABC-Vanilla,46415.88833612777,1.6611354354472097,21544.346900318847,0.7710307688290277,2.2251165025181177,-1.607327038047289e-09,1126.624513737095,24.656386331063935,20,2,False,42
permABC-Vanilla,100000.0,3.5788078069686886,10000.0,0.3578807806968689,1.9860181876158813,-1.607327038047289e-09,987.4711491411523,24.656386331063935,20,2,False,42
permABC-Vanilla,215443.4690031882,7.710307688290266,4641.588833612783,0.16611354354472116,1.7988015384438558,-1.607327038047289e-09,878.3565053763186,24.656386331063935,20,2,False,42
permABC-Vanilla,464158.8833612778,16.611354354472102,2154.434690031884,0.07710307688290274,1.6447313759012931,-1.607327038047289e-09,804.4493177030921,24.656386331063935,20,2,False,42
permABC-Vanilla,1000000.0,35.78807806968689,1000.0,0.03578807806968689,1.5141959215557053,-1.607327038047289e-09,736.4272291459372,24.656386331063935,20,2,False,42
