method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.010981483221054078,1000000.0,10.981483221054077,20.53659292860256,9.248215806348423,36654.851708879636,25.002488264026976,20,6,False,42
ABC-Vanilla,2154.4346900318833,0.02365888839944197,464158.8833612779,5.09715298953507,13.260219323449354,9.08958336495953,36672.25983484797,24.998402741766498,20,6,False,42
ABC-Vanilla,4641.588833612778,0.05097152989535069,215443.4690031884,2.3658888399441973,12.23923724769802,-1.2676879096769715e-09,36716.378498488484,25.282650719143632,20,6,False,42
ABC-Vanilla,10000.0,0.10981483221054078,100000.0,1.0981483221054078,11.520220131102391,-1.2676879096769715e-09,36756.17958430918,25.282650719143632,20,6,False,42
ABC-Vanilla,21544.346900318837,0.23658888399441974,46415.88833612779,0.509715298953507,10.944329962056976,-1.2676879096769715e-09,36696.52411399818,25.282650719143632,20,6,False,42
ABC-Vanilla,46415.88833612777,0.5097152989535068,21544.346900318847,0.23658888399441982,10.460109044899806,-1.2676879096769715e-09,36559.83469963408,25.282650719143632,20,6,False,42
ABC-Vanilla,100000.0,1.0981483221054078,10000.0,0.10981483221054078,10.026765522835275,-1.2676879096769715e-09,36639.76562444137,25.282650719143632,20,6,False,42
ABC-Vanilla,215443.4690031882,2.3658888399441955,4641.588833612783,0.05097152989535073,9.635362254801576,-1.2676879096769715e-09,36869.60209849203,25.282650719143632,20,6,False,42
ABC-Vanilla,464158.8833612778,5.097152989535069,2154.434690031884,0.02365888839944198,9.279498668713481,-1.2676879096769715e-09,36609.06416092577,25.282650719143632,20,6,False,42
ABC-Vanilla,1000000.0,10.981483221054077,1000.0,0.010981483221054078,8.962144994453956,-1.2676879096769715e-09,36340.85656488963,25.282650719143632,20,6,False,42
permABC-Vanilla,1000.0,0.029099770069122313,1000000.0,29.099770069122314,12.054909329665431,9.248215806348423,7834.669431851774,25.002488264026976,20,6,False,42
permABC-Vanilla,2154.4346900318833,0.06269355410886861,464158.8833612779,13.50691678135375,5.900229027352353,7.951269277774272,5615.543649986486,25.01113329354256,20,6,False,42
permABC-Vanilla,4641.588833612778,0.13506916781353748,215443.4690031884,6.269355410886862,5.155226703395062,7.951269277774272,4577.2419434174535,25.01113329354256,20,6,False,42
permABC-Vanilla,10000.0,0.29099770069122316,100000.0,2.9099770069122317,4.637613155186493,4.597567618626474,3856.8992436083304,25.004231835832076,20,6,False,42
permABC-Vanilla,21544.346900318837,0.6269355410886862,46415.88833612779,1.350691678135375,4.225470482732473,4.597567618626474,3307.213812422939,25.004231835832076,20,6,False,42
permABC-Vanilla,46415.88833612777,1.3506916781353744,21544.346900318847,0.6269355410886864,3.8801599364836115,-1.2676879096769715e-09,2865.643712533571,25.282650719143632,20,6,False,42
permABC-Vanilla,100000.0,2.9099770069122313,10000.0,0.29099770069122316,3.5776818497258267,-1.2676879096769715e-09,2506.1466753562163,25.282650719143632,20,6,False,42
permABC-Vanilla,215443.4690031882,6.269355410886857,4641.588833612783,0.1350691678135376,3.3132912179592457,-1.2676879096769715e-09,2216.7651070574357,25.282650719143632,20,6,False,42
permABC-Vanilla,464158.8833612778,13.506916781353747,2154.434690031884,0.06269355410886863,3.072551354279146,-1.2676879096769715e-09,1969.1782783584522,25.282650719143632,20,6,False,42
permABC-Vanilla,1000000.0,29.099770069122314,1000.0,0.029099770069122316,2.8568467162735827,-1.2676879096769715e-09,1746.7184869096682,25.282650719143632,20,6,False,42
ABC-SMC,950.0,0.00930790901184082,19000.0,0.1861581802368164,15.931983960849271,-1.2676879096769715e-09,36836.54858546438,25.282650719143632,20,6,False,42
ABC-SMC,1852.0,0.013861513137817383,37040.0,0.27723026275634766,15.477564751479624,-1.2676879096769715e-09,36181.0301627901,25.282650719143632,20,6,False,42
ABC-SMC,2708.0,0.01884765625,54160.0,0.376953125,15.101026045908498,-1.2676879096769715e-09,35661.69249867574,25.282650719143632,20,6,False,42
ABC-SMC,3521.0,0.023459959030151366,70420.0,0.46919918060302734,14.825793386326461,-1.2676879096769715e-09,35281.845837597866,25.282650719143632,20,6,False,42
ABC-SMC,4293.0,0.02788372039794922,85860.0,0.5576744079589844,14.57427545950708,-1.2676879096769715e-09,34940.85757988102,25.282650719143632,20,6,False,42
ABC-SMC,5026.0,0.03247312307357788,100520.0,0.6494624614715576,14.396432105742134,-1.2676879096769715e-09,34326.10802290877,25.282650719143632,20,6,False,42
ABC-SMC,5722.0,0.03720875978469849,114440.0,0.7441751956939697,14.225973869503957,-1.2676879096769715e-09,34072.65925997357,25.282650719143632,20,6,False,42
